BRAND,MODEL,RANGE_KM,EFFICIENCY_WHKM,FASTCHARGE_KMH,RAPIDCHARGE,PLUGTYPE,BATTERY_CAPACITY
TESLA,MODEL 3 LONG RANGE DUAL MOTOR,450,161,940,YES,"['TYPE2', 'CCS']",72.45
VOLKSWAGEN,ID3 PURE,270,167,250,YES,"['TYPE2', 'CCS']",45.09
POLESTAR,2,400,181,620,YES,"['TYPE2', 'CCS']",72.4
BMW,IX3,360,206,560,YES,"['TYPE2', 'CCS']",74.16
HONDA,E,170,168,190,YES,"['TYPE2', 'CCS']",28.56
LUCID,AIR,610,180,620,YES,"['TYPE2', 'CCS']",109.8
VOLKSWAGEN,E_GOLF,190,168,220,YES,"['TYPE2', 'CCS']",31.92
PEUGEOT,E_208,275,164,420,YES,"['TYPE2', 'CCS']",45.1
TESLA,MODEL 3 STANDARD RANGE PLUS,310,153,650,YES,"['TYPE2', 'CCS']",47.43
AUDI,Q4 E_TRON,400,193,540,YES,"['TYPE2', 'CCS']",77.2
MERCEDES,EQC 400 4MATIC,370,216,440,YES,"['TYPE2', 'CCS']",79.92
NISSAN,LEAF,220,164,230,YES,"['TYPE2', 'CHADEMO']",36.08
HYUNDAI,KONA ELECTRIC 64 KWH,400,160,380,YES,"['TYPE2', 'CCS']",64.0
BMW,I4,450,178,650,YES,"['TYPE2', 'CCS']",80.1
HYUNDAI,IONIQ ELECTRIC,250,153,210,YES,"['TYPE2', 'CCS']",38.25
VOLKSWAGEN,ID3 PRO S,440,175,590,YES,"['TYPE2', 'CCS']",77.0
PORSCHE,TAYCAN TURBO S,375,223,780,YES,"['TYPE2', 'CCS']",83.625
VOLKSWAGEN,E_UP,195,166,170,YES,"['TYPE2', 'CCS']",32.37
MG,ZS EV,220,193,260,YES,"['TYPE2', 'CCS']",42.46
MINI,COOPER SE,185,156,260,YES,"['TYPE2', 'CCS']",28.86
OPEL,CORSA_E,275,164,420,YES,"['TYPE2', 'CCS']",45.1
TESLA,MODEL Y LONG RANGE DUAL MOTOR,425,171,930,YES,"['TYPE2', 'CCS']",72.675
SKODA,ENYAQ IV 50,290,179,230,YES,"['TYPE2', 'CCS']",51.91
AUDI,E_TRON GT,425,197,850,YES,"['TYPE2', 'CCS']",83.725
TESLA,MODEL 3 LONG RANGE PERFORMANCE,435,167,910,YES,"['TYPE2', 'CCS']",72.645
VOLKSWAGEN,ID4,420,183,560,YES,"['TYPE2', 'CCS']",76.86
VOLKSWAGEN,ID3 PRO,350,166,490,YES,"['TYPE2', 'CCS']",58.1
VOLVO,XC40 P8 AWD RECHARGE,375,200,470,YES,"['TYPE2', 'CCS']",75.0
BMW,I3 120 AH,235,161,270,YES,"['TYPE2', 'CCS']",37.835
PEUGEOT,E_2008 SUV,250,180,380,YES,"['TYPE2', 'CCS']",45.0
AUDI,E_TRON 50 QUATTRO,280,231,450,YES,"['TYPE2', 'CCS']",64.68
KIA,E_NIRO 64 KWH,370,173,350,YES,"['TYPE2', 'CCS']",64.01
RENAULT,ZOE ZE50 R110,315,165,230,YES,"['TYPE2', 'CCS']",51.975
TESLA,CYBERTRUCK TRI MOTOR,750,267,710,YES,"['TYPE2', 'CCS']",200.25
MAZDA,MX_30,180,178,240,YES,"['TYPE2', 'CCS']",32.04
NISSAN,LEAF E,325,172,390,YES,"['TYPE2', 'CHADEMO']",55.9
LEXUS,UX 300E,270,193,190,YES,"['TYPE2', 'CHADEMO']",52.11
CUPRA,EL_BORN,425,181,570,YES,"['TYPE2', 'CCS']",76.925
RENAULT,ZOE ZE50 R135,310,168,230,YES,"['TYPE2', 'CCS']",52.08
MERCEDES,EQA,350,171,440,YES,"['TYPE2', 'CCS']",59.85
TESLA,MODEL S LONG RANGE,515,184,560,YES,['TYPE2'],94.76
HYUNDAI,KONA ELECTRIC 39 KWH,255,154,210,YES,"['TYPE2', 'CCS']",39.27
AUDI,E_TRON SPORTBACK 55 QUATTRO,380,228,610,YES,"['TYPE2', 'CCS']",86.64
SKODA,CITIGOE IV,195,166,170,YES,"['TYPE2', 'CCS']",32.37
SEAT,MII ELECTRIC,195,166,170,YES,"['TYPE2', 'CCS']",32.37
KIA,E_SOUL 64 KWH,365,175,340,YES,"['TYPE2', 'CCS']",63.875
OPEL,AMPERA_E,335,173,210,YES,"['TYPE2', 'CCS']",57.955
PORSCHE,TAYCAN 4S,365,195,730,YES,"['TYPE2', 'CCS']",71.175
LIGHTYEAR,ONE,575,104,540,YES,"['TYPE2', 'CCS']",59.8
AIWAYS,U5,335,188,350,YES,"['TYPE2', 'CCS']",62.98
AUDI,E_TRON 55 QUATTRO,365,237,590,YES,"['TYPE2', 'CCS']",86.505
TESLA,ROADSTER,970,206,920,YES,"['TYPE2', 'CCS']",199.82
OPEL,MOKKA_E,255,176,390,YES,"['TYPE2', 'CCS']",44.88
SKODA,ENYAQ IV 80,420,183,560,YES,"['TYPE2', 'CCS']",76.86
TESLA,MODEL X LONG RANGE,450,211,490,YES,['TYPE2'],94.95
HONDA,E ADVANCE,170,168,190,YES,"['TYPE2', 'CCS']",28.56
DS,3 CROSSBACK E_TENSE,250,180,380,YES,"['TYPE2', 'CCS']",45.0
RENAULT,TWINGO ZE,130,164,0,NO,['TYPE2'],21.32
CITROEN,E_C4,250,180,380,YES,"['TYPE2', 'CCS']",45.0
TESLA,MODEL S PERFORMANCE,505,188,550,YES,['TYPE2'],94.94
RENAULT,ZOE ZE40 R110,255,161,230,YES,"['TYPE2', 'CCS']",41.055
TESLA,MODEL Y LONG RANGE PERFORMANCE,410,177,900,YES,"['TYPE2', 'CCS']",72.57
NISSAN,ARIYA 87KWH,440,198,520,YES,"['TYPE2', 'CCS']",87.12
JAGUAR,I_PACE,365,232,340,YES,"['TYPE2', 'CCS']",84.68
FORD,MUSTANG MACH_E ER RWD,450,200,430,YES,"['TYPE2', 'CCS']",90.0
PORSCHE,TAYCAN 4S PLUS,425,197,890,YES,"['TYPE2', 'CCS']",83.725
NISSAN,E_NV200 EVALIA,190,200,190,YES,"['TYPE1', 'CHADEMO']",38.0
TESLA,CYBERTRUCK DUAL MOTOR,460,261,710,YES,"['TYPE2', 'CCS']",120.06
RENAULT,KANGOO MAXI ZE 33,160,194,0,NO,['TYPE2'],31.04
FORD,MUSTANG MACH_E ER AWD,430,209,410,YES,"['TYPE2', 'CCS']",89.87
BMW,I3S 120 AH,230,165,260,YES,"['TYPE2', 'CCS']",37.95
SKODA,ENYAQ IV 80X,400,193,540,YES,"['TYPE2', 'CCS']",77.2
PORSCHE,TAYCAN CROSS TURISMO,385,217,770,YES,"['TYPE2', 'CCS']",83.545
BYTON,M_BYTE 95 KWH 4WD,390,244,460,YES,"['TYPE2', 'CCS']",95.16
SONO,SION,225,156,270,YES,"['TYPE2', 'CCS']",35.1
KIA,E_NIRO 39 KWH,235,167,230,YES,"['TYPE2', 'CCS']",39.245
AUDI,Q4 SPORTBACK E_TRON,410,188,550,YES,"['TYPE2', 'CCS']",77.08
SMART,EQ FORFOUR,95,176,0,NO,['TYPE2'],16.72
FORD,MUSTANG MACH_E SR AWD,340,206,360,YES,"['TYPE2', 'CCS']",70.04
PORSCHE,TAYCAN TURBO,390,215,810,YES,"['TYPE2', 'CCS']",83.85
VOLKSWAGEN,ID3 1ST,340,171,470,YES,"['TYPE2', 'CCS']",58.14
TESLA,MODEL X PERFORMANCE,440,216,480,YES,['TYPE2'],95.04
SMART,EQ FORTWO COUPE,100,167,0,NO,['TYPE2'],16.7
FORD,MUSTANG MACH_E SR RWD,360,194,380,YES,"['TYPE2', 'CCS']",69.84
MERCEDES,EQV 300 LONG,330,273,290,YES,"['TYPE2', 'CCS']",90.09
FIAT,500E HATCHBACK,250,168,330,YES,"['TYPE2', 'CCS']",42.0
TESLA,CYBERTRUCK SINGLE MOTOR,390,256,740,YES,"['TYPE2', 'CCS']",99.84
AUDI,E_TRON SPORTBACK 50 QUATTRO,295,219,470,YES,"['TYPE2', 'CCS']",64.605
SKODA,ENYAQ IV VRS,400,193,540,YES,"['TYPE2', 'CCS']",77.2
SKODA,ENYAQ IV 60,320,181,440,YES,"['TYPE2', 'CCS']",57.92
AUDI,E_TRON S 55 QUATTRO,320,270,510,YES,"['TYPE2', 'CCS']",86.4
SMART,EQ FORTWO CABRIO,95,176,0,NO,['TYPE2'],16.72
KIA,E_SOUL 64 KWH,365,175,320,YES,"['TYPE2', 'CCS']",63.875
NISSAN,ARIYA E_4ORCE 87KWH,420,207,500,YES,"['TYPE2', 'CCS']",86.94
FIAT,500E CONVERTIBLE,250,168,330,YES,"['TYPE2', 'CCS']",42.0
VOLKSWAGEN,ID3 PRO PERFORMANCE,340,171,470,YES,"['TYPE2', 'CCS']",58.14
KIA,E_SOUL 39 KWH,230,170,220,YES,"['TYPE2', 'CCS']",39.1
BYTON,M_BYTE 72 KWH 2WD,325,222,420,YES,"['TYPE2', 'CCS']",72.15
NISSAN,ARIYA 63KWH,330,191,440,YES,"['TYPE2', 'CCS']",63.03
AUDI,E_TRON S SPORTBACK 55 QUATTRO,335,258,540,YES,"['TYPE2', 'CCS']",86.43
NISSAN,ARIYA E_4ORCE 63KWH,325,194,440,YES,"['TYPE2', 'CCS']",63.05
NISSAN,ARIYA E_4ORCE 87KWH PERFORMANCE,375,232,450,YES,"['TYPE2', 'CCS']",87.0
BYTON,M_BYTE 95 KWH 2WD,400,238,480,YES,"['TYPE2', 'CCS']",95.2
