X,Y,FID,objectid,provincia,municipio,localidad,codigo_po,direccion,margen,longitud,latitud,precio_gas,precio_g_1,precio_g_2,precio_bio,precio_nue,precio_b_1,f__ester_,f__bioalco,precio_g_3,precio_g_4,precio_g_5,precio_g_6,rotulo,tipo_venta,rem_,horario,horario00,z,fecha
-1.868778,37.239444,1,6211549,ALMERÍA,VERA,VERA,04620,CARRETERA DE RONDA KM. 97,D,-1.868778,37.239444,1.299000,1.219,0, , , , , , , , , ,VERADIESEL,P,dm,L-D: 07:00-22:00,L-D: 07:00-22:00, ,2019/04/29 00:00:00+00
-2.409402,36.876635,2,6211550,ALMERÍA,VIATOR,VIATOR,04240,PARAJE PISAICA DE LA VIRGEN S/N,N,-2.409402,36.876635,1.260000,1.18,0, , , , , , , , , ,S.A.T. PISAICA DE LA VIRGEN,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
-2.423139,36.878167,3,6211551,ALMERÍA,VIATOR,VIATOR,04240,"CARRETERA VIATOR - EL ALQUIAN KM. 8,5",N,-2.423139,36.878167,1.379000,1.279,0, ,1.379000, , , ,1.522000, , , ,BP VIATOR,P,dm,"L-V: 06:00-22:00; S: 06:00-21:30; D: 07:00-21:30","L-V: 06:00-22:00; S: 06:00-21:30; D: 07:00-21:30", ,2019/04/29 00:00:00+00
-2.419472,36.884611,4,6211552,ALMERÍA,VIATOR,VIATOR,04240,"CALLE SIERRA DE CAZORLA, 23 (P.I. LA JUAIDA), 23",D,-2.419472,36.884611,1.369000,1.279,0, ,1.369000, , , ,1.479000, , , ,REPSOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
-2.420694,36.883306,5,6211553,ALMERÍA,VIATOR,JUAIDA (LA),04230,"POLIGONO SIERRA DE CAZORLA, S7N",D,-2.420694,36.883306,1.361000,1.255,0, , , , , , , , , ,SHELL,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-2.625167,36.803278,6,6211554,ALMERÍA,VÍCAR,GANGOSA (LA),04738,"AVENIDA SIERRA DE GADOR, 6",N,-2.625167,36.803278,1.310000,1.185,0, , , , , , , , , ,CAMPO ROQUETAS,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-2.673639,36.807167,7,6211555,ALMERÍA,VÍCAR,PUEBLA DE VICAR,04738,"CAMINO CORTIJO SAN LUCIANO, S/N",N,-2.673639,36.807167, ,1.202,0.838, , , , , , , , , ,E.S. GASOLEOS HORTICAMPO - VICAR,P,dm,L-S: 08:00-21:00,L-S: 08:00-21:00, ,2019/04/29 00:00:00+00
-2.661,36.737694,8,6211556,ALMERÍA,VÍCAR,VICAR,04738,CARRETERA MOJONERA AL SOLANILLO KM. S/N,N,-2.661,36.737694,1.320000,1.211,0, , , , , ,1.389000, , , ,AGLA,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
-2.609389,36.807389,9,6211557,ALMERÍA,VÍCAR,VICAR,04738,"BULEVAR BULEVAR CIUDAD DE VICAR, 300",N,-2.609389,36.807389,1.369000,1.289,0, ,1.379000, , , ,1.511000, , , ,BP VICAR,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-2.642722,36.831444,10,6211558,ALMERÍA,VÍCAR,VICAR,04738,CARRETERA ROQUETAS KM. 9,N,-2.642722,36.831444,1.369000,1.289,0, ,1.379000, , , ,1.511000, , , ,BP VIAPARK,P,OM,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-2.621028,36.804778,11,6211559,ALMERÍA,VÍCAR,VICAR,04738,"BULEVAR CIUDAD DE VICAR, 659",N,-2.621028,36.804778,1.359000,1.289,0, ,1.369000, , , ,1.499000, , , ,REPSOL,P,OM,L-D: 06:30-22:30,L-D: 06:30-22:30, ,2019/04/29 00:00:00+00
-2.653568,36.799468,12,6211560,ALMERÍA,VÍCAR,VICAR,04738,CTRA. NACIONAL 340,D,-2.653568,36.799468,1.315000,1.185,0, ,1.225000, , , ,1.425000, , , ,CONSUMOMAR,P,dm,L-D: 24H,L-D: 24H, ,2019/04/29 00:00:00+00
-2.675944,36.782806,13,6211561,ALMERÍA,VÍCAR,VICAR,04738,"PARAJE EL VIZCONDE CARRETERA IRYDA SECTOR IV, S/N",I,-2.675944,36.782806,1.270000,1.14,0, ,1.190000, , , , , , , ,E.S.VICASOL,P,dm,L-D: 06:00-22:00,L-D: 06:00-22:00, ,2019/04/29 00:00:00+00
-2.044917,37.361889,14,6211562,ALMERÍA,ZURGENA,ALFOQUIA (LA),04661,"AVENIDA ANDALUCIA, S/N",D,-2.044917,37.361889,1.250000,1.16,0, , , , , , , , , ,OIL BAROL SL,P,dm,L: 07:00-21:00,L: 07:00-21:00, ,2019/04/29 00:00:00+00
-6.614222,43.271667,15,6211563,ASTURIAS,ALLANDE,POLA DE ALLANDE,33880,"CL AVENIDA DE GALICIA, 44",I,-6.614222,43.271667,1.398000,1.288,0.978, ,1.378000, , , , , , , ,PETRONOR,P,dm,L-D: 07:00-22:30,L-D: 07:00-22:30, ,2019/04/29 00:00:00+00
-5.674861,43.16475,16,6211564,ASTURIAS,ALLER,CORIGOS,33685,"AS-112 km 5,8",D,-5.674861,43.16475,1.409000,1.319,1.005, ,1.379000, , , ,1.509000, , , ,REPSOL,P,OM,L-D: 08:30-14:30 y 16:00-21:00,L-D: 08:30-14:30 y 16:00-21:00, ,2019/04/29 00:00:00+00
-5.742972,43.171833,17,6211565,ASTURIAS,ALLER,MOREDA,33670,"CALLE CONSTITUCIÓN, 91",D,-5.742972,43.171833,1.409000,1.319,0.985, ,1.409000, , , ,1.509000, , , ,GALP,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
-5.754333,43.174139,18,6211566,ASTURIAS,ALLER,CABORANA,33684,PG POL.INDUSTRIAL DE CABORANA,D,-5.754333,43.174139,1.409000,1.319,0, ,1.379000, , , ,1.509000, , , ,REPSOL,P,OM,L-D: 07:00-23:00,L-D: 07:00-23:00, ,2019/04/29 00:00:00+00
