provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
ALMERIA,VERA,VERA,4620,CARRETERA DE RONDA KM. 97,-1.8687779999999998,37.239444
ALMERIA,VIATOR,VIATOR,4240,PARAJE PISAICA DE LA VIRGEN S/N,-2.409402,36.876635
ALMERIA,VIATOR,VIATOR,4240,"CARRETERA VIATOR - EL ALQUIAN KM. 8,5",-2.423139,36.878167
ALMERIA,VIATOR,VIATOR,4240,"CALLE SIERRA DE CAZORLA, 23 (P.I. LA JUAIDA), 23",-2.4194720000000003,36.884611
ALMERIA,VIATOR,JUAIDA (LA),4230,"POLIGONO SIERRA DE CAZORLA, S7N",-2.4206939999999997,36.883306
ALMERIA,VICAR,GANGOSA (LA),4738,"AVENIDA SIERRA DE GADOR, 6",-2.625167,36.803278000000006
ALMERIA,VICAR,PUEBLA DE VICAR,4738,"CAMINO CORTIJO SAN LUCIANO, S/N",-2.673639,36.807167
ALMERIA,VICAR,VICAR,4738,CARRETERA MOJONERA AL SOLANILLO KM. S/N,-2.661,36.737694
ALMERIA,VICAR,VICAR,4738,"BULEVAR BULEVAR CIUDAD DE VICAR, 300",-2.6093889999999997,36.807389
ALMERIA,VICAR,VICAR,4738,CARRETERA ROQUETAS KM. 9,-2.642722,36.831444
ALMERIA,VICAR,VICAR,4738,"BULEVAR CIUDAD DE VICAR, 659",-2.621028,36.804778000000006
ALMERIA,VICAR,VICAR,4738,CTRA. NACIONAL 340,-2.653568,36.799468
ALMERIA,VICAR,VICAR,4738,"PARAJE EL VIZCONDE CARRETERA IRYDA SECTOR IV, S/N",-2.675944,36.782806
ALMERIA,ZURGENA,ALFOQUIA (LA),4661,"AVENIDA ANDALUCIA, S/N",-2.044917,37.361889
ASTURIAS,ALLANDE,POLA DE ALLANDE,33880,"CL AVENIDA DE GALICIA, 44",-6.614222,43.271667
ASTURIAS,ALLER,CORIGOS,33685,"AS-112 km 5,8",-5.674861,43.16475
ASTURIAS,ALLER,MOREDA,33670,"CALLE CONSTITUCION, 91",-5.742972,43.171833
ASTURIAS,ALLER,CABORANA,33684,PG POL.INDUSTRIAL DE CABORANA,-5.754333,43.174139000000004
ASTURIAS,AVILES,AVILES,33402,"TRAVESIA LOS CANAPES, 2",-5.912611,43.546778
ASTURIAS,AVILES,AVILES,33402,"CALLE BUENAVISTA, 100",-5.938028,43.543389000000005
ASTURIAS,AVILES,AVILES,33401,"AVDA. CONDE DE GUADALHORCE, 69",-5.922806,43.567861
ASTURIAS,AVILES,AVILES,33401,"TRAVESIA TORNO DEL, 2",-5.9231940000000005,43.570639
ASTURIAS,AVILES,VILLALEGRE (AVILES),33400,"CALLE SANTA APOLONIA, 161",-5.902833,43.538111
ASTURIAS,AVILES,LLARANES,33460,"AVENIDA GIJON, 70",-5.911444,43.551556
ASTURIAS,AVILES,AVILES,33400,"AVDA. CRISTOBAL COLON, S/N",-5.906889,43.537
ASTURIAS,AVILES,AVILES,33400,AVDA. DE SAN AGUSTIN S/N,-5.933139,43.552
ASTURIAS,AVILES,AVILES,33400,"AVDA. DE LOS TELARES, 27 (N-632 km 94,4)",-5.924028,43.562333
ASTURIAS,AVILES,AVILES,33400,"CALLE BUENAVISTA, 63",-5.933444000000001,43.545278
ASTURIAS,AVILES,AVILES,33400,"CARRETERA AS-238 (PARQ. EMPRES. PRINCIPADO ASTURIAS KM. 0,8",-5.9110000000000005,43.560056
ASTURIAS,AVILES,AVILES,33400,"AVENIDA DE LUGO, 24",-5.9270000000000005,43.566361
ASTURIAS,AVILES,AVILES,33400,"AVENIDA LUGO, 110",-5.92925,43.575028
ASTURIAS,BELMONTE DE MIRANDA,BELMONTE,33830,CARRETERA CTRA DEL PUERTO S/N KM. 1,-6.218333,43.286861
ASTURIAS,BIMENES,SAN JULIAN,33527,"CARRETERA AS-251 KM. 14,2",-5.567028,43.321000000000005
ASTURIAS,BOAL,BOAL,33720,"CALLE ISIDORO FONTANA, S/N",-6.8158330000000005,43.431056
ASTURIAS,CABRALES,ARENAS (LAS),33554,"CARRETERA AS-114 KM. 32,80",-4.795833,43.297944
ASTURIAS,CANGAS DE ONIS,CANGAS DE ONIS,33550,"AVENIDA COVADONGA, S/N",-5.119889,43.350889
ASTURIAS,CANGAS DE ONIS,CANGAS DE ONIS,33550,"CARRETERA AS-114 KM. 1,100",-5.1249720000000005,43.354110999999996
ASTURIAS,CANGAS DE ONIS,COVIELLA,33547,"ACCESO CRA. NACIONAL 625, 0",-5.18275,43.3885
ASTURIAS,CANGAS DEL NARCEA,CANGAS DEL NARCEA,33800,"AVENIDA ALEJANDRO CASONA, 35",-6.545111,43.183417
ASTURIAS,CANGAS DEL NARCEA,CANGAS DEL NARCEA,33800,"AVENIDA DE OVIEDO, 3",-6.546389,43.180833
ASTURIAS,CANGAS DEL NARCEA,TEBONGO,33816,"CARRETERA CORNELLANA-PUERTO DE CERREDO KM. 15,4",-6.499444,43.243083
ASTURIAS,CARRENO,BARCA (LA),33438,"LUGAR LA BARCA, S/N",-5.852278,43.554167
ASTURIAS,CARRENO,PERLORA,33439,"CARRETERA AS-329 KM. 4,1",-5.7545,43.5785
ASTURIAS,CARRENO,TAM ON,33469,"AUTOVIA A-8 KM. 401,5",-5.819694,43.514361
ASTURIAS,CARRENO,TAM ON,33469,"AUTOPISTA A-8 KM. 401,5",-5.8173330000000005,43.511278000000004
ASTURIAS,CARRENO,CARRENO,33438,"VIA AS-110, 7",-5.834667,43.555917
ASTURIAS,CARRENO,CARRENO,33438,"POLIGONO DE TABAZA II, PARCELA 28 (AS-110 km 7,8)",-5.834667,43.55
ASTURIAS,CARRENO,CARRENO,33438,"CARRETERA AS-19 KM. 9,600",-5.767861,43.554833
ASTURIAS,CASTRILLON,SALINAS,33400,"AVENIDA CAMPON EL, 16",-5.959528,43.571166999999996
ASTURIAS,CASTRILLON,SALINAS,33400,"AVENIDA CAMPON - SALINAS, 16",-5.959278,43.57125
ASTURIAS,CASTRILLON,PIEDRAS BLANCAS,33450,"AVDA. PRINCIPAL, 37",-5.981028,43.557306
ASTURIAS,CASTROPOL,FIGUERAS,33794,"CALLE LAGUNA DE LA, 1",-7.019639,43.540361
ASTURIAS,CASTROPOL,BARRES,33794,"POLIGONO POL. IND. BARRES, PARCELA 11/7, 1",-6.983167,43.532833000000004
ASTURIAS,COANA,JARRIO,33719,"POLIGONO INDUSTRIAL RIO PINTO, 102",-6.764556,43.541778
ASTURIAS,COANA,JARRIO,33719,CTRA.N-634 km 528,-6.759778,43.541056
ASTURIAS,COANA,CARTAVIO,33719,"CR N-634, 530,1 (N-634 km 530,13)",-6.783639,43.544278000000006
ASTURIAS,COLUNGA,COLUNGA,33320,"CR N-632, 23,7",-5.260944,43.484417
ASTURIAS,COLUNGA,COLUNGA,33320,"AUTOVIA A8 km 347,5",-5.283194,43.4825
ASTURIAS,COLUNGA,COLUNGA,33320,"AUTOVIA A8 km 347,5",-5.289083,43.481361
ASTURIAS,CORVERA DE ASTURIAS,CAMPOS (LOS),33404,"CARRETERA AS-17 KM. 3,5",-5.889639,43.535167
ASTURIAS,CORVERA DE ASTURIAS,TRASMONTE,33468,"COMPLEJO CENTRO COMERCIAL PARQUE ASTUR, S/N",-5.871278,43.547556
ASTURIAS,CORVERA DE ASTURIAS,CORVERA DE ASTURIAS,33416,"CARRETERA AS-19 KM. 19,4",-5.8725,43.550694
ASTURIAS,CUDILLERO,"PITO, EL",33154,"CARRETERA CTRA ANT. N 632 KM 123,7 KM. 123,7",-6.138361,43.546333000000004
ASTURIAS,CUDILLERO,CUDILLERO,33150,CARRETERA NACIONAL 632 KM 123.700 KM.,-6.166056,43.554528000000005
ASTURIAS,CUDILLERO,SAN COSME,33155,"CARRETERA N-632 KM. 128,100",-6.217694,43.546944
ASTURIAS,CUDILLERO,NOVELLANA,33157,"AUTOVIA DEL CANTABRICO  A8 KM. 134,2",-6.283778,43.557583
ASTURIAS,FRANCO (EL),VALDEPARES,33746,"CR N-634, 535,8",-6.845083,43.555028
ASTURIAS,GIJON,GIJON,33206,"CALLE CARMEN, 24",-5.667639,43.541139
ASTURIAS,GIJON,GIJON,33207,"AVENIDA PORTUGAL, 44",-5.6713059999999995,43.537917
ASTURIAS,GIJON,GIJON,33202,CL SANTA DORADIA 22,-5.657083,43.53825
ASTURIAS,GIJON,GIJON,33208,"CALLE FERNANDEZ LADREDA, 45",-5.668472,43.534333000000004
ASTURIAS,GIJON,GIJON,33203,CARRETERA AS-247 KM. 1,-5.638167,43.541917
ASTURIAS,GIJON,GIJON,33204,CARRETERA VIESQUES KM. S/N,-5.643306,43.532028000000004
ASTURIAS,GIJON,GIJON,33209,CARRETERA AS-248 KM. 20,-5.654861,43.528778
ASTURIAS,GIJON,GIJON,33212,"AVENIDA EDUARDO CASTRO, 92",-5.696972,43.544917
ASTURIAS,GIJON,GIJON,33212,"AVENIDA PRINCIPE DE ASTURIAS, 78",-5.695444,43.543167
ASTURIAS,GIJON,GIJON,33212,"POLIGONO CENTRO DE ALMACENAMIENTO GALP MUSEL GIJON, SN",-5.694139,43.547971999999994
ASTURIAS,GIJON,GIJON,33212,"AVENIDA DE LA ARGENTINA, S/N",-5.703389,43.538222
ASTURIAS,GIJON,GIJON,33211,"AVENIDA ROCES, N",-5.677944,43.508860999999996
ASTURIAS,GIJON,GIJON,33211,"AVENIDA CONSTITUCION, 220",-5.684722,43.521111
ASTURIAS,GIJON,GIJON,33211,"POLIGONO LOS CAMPONES INTERS. AS-19 (PARC.1 Y 4) (TREMANES-CARRETERA), S/N",-5.7075,43.529889000000004
ASTURIAS,GIJON,GIJON,33211,"POLIGONO DE ROCES, No 5 - CARRETERA CARBONERA,, 2230",-5.680167,43.507444
ASTURIAS,GIJON,GIJON,33211,"AVENIDA DE LA METALURGIA, S/N",-5.711889,43.525361
ASTURIAS,GIJON,GIJON,33211,"AVENIDA DE OVIEDO, 176",-5.686806,43.517972
ASTURIAS,GIJON,GIJON,33211,CARRETERA AS-19 KM. S/N,-5.71225,43.5375
ASTURIAS,GIJON,GIJON,33211,"CALLE GRAHAM BELL, 575",-5.679194,43.506471999999995
ASTURIAS,GIJON,GIJON,33211,"CALLE NICOLAS COPERNICO, 311",-5.689361,43.508333
ASTURIAS,GIJON,GIJON,33211,AUTOPISTA AS -2 KM. 22,-5.691167,43.511556
ASTURIAS,GIJON,GIJON,33211,"CALLE PAULINA CANGA, 4",-5.704139,43.533139
