id,provincia,municipio,localidad,codigo_po,direccion,longitud,latitud
gasolinera_1,ALMERIA,ANTAS,ANTAS,4628,AUTOVIA MURCIA-ALMERIA SALIDA 537 KM. 537,-1,934556,37,285833
gasolinera_2,ALMERIA,ALMERIA,ALMERIA,4009,CALLE COBRE, 26,-2,431333,36,85325
gasolinera_3,ALMERIA,EJIDO (EL),SANTA MARIA DEL AGUILA,4710,CARRETERA IRYDA POLIG. IND. LA REDONDA KM. S/N,-2,748806,36,780444
gasolinera_4,ASTURIAS,MIERES,SANTULLANO,33611,COMPLEJO CENTRO COMERCIAL CAUDALIA, S/N,-5,781944,43,227722
gasolinera_5,ASTURIAS,AVILES,LLARANES,33460,AVENIDA GIJON, 70,-5,911444,43,551556
gasolinera_6,ASTURIAS,GIJON,GIJON,33211,AVENIDA DE LOS CAMPONES, 13,-5,691222,43,533833
gasolinera_7,ASTURIAS,CASTROPOL,FIGUERAS,33794,CALLE LAGUNA DE LA, 1,-7,019639,43,540361
gasolinera_8,ASTURIAS,NAVIA,NAVIA,33710,AVENIDA DE LOS EMIGRANTES, 34,-6,724611,43,536417
gasolinera_9,ASTURIAS,SIERO,SIERO,33429,CARRETERA VIELLA KM. 0,250,-5,784056,43,38275
gasolinera_10,ASTURIAS,LLANES,POSADA,33594,CARRETERA AS-263 KM. 19,-4,86225,43,426417
gasolinera_11,BARCELONA,MONTCADA I REIXAC,CAN CUIAS,8110,AUTOPISTA C- 33 KM. 82,5,2,191417,41,495222
gasolinera_12,BARCELONA,VIC,VIC,8500,CALLE LLEIDA, 6,2,264417,41,946083
gasolinera_14,TARRAGONA,TORREDEMBARRA,TORREDEMBARRA,43830,CARRETERA DE LA RIERA KM. 20,1,393444,41,152056
gasolinera_15,BARCELONA,SANT SADURNI D'ANOIA,SANT SADURNI D'ANOIA,8770,CARRETERA SAN QUINTIN KM. 9,2,1,781056,41,425611
gasolinera_16,CADIZ,BARRIOS (LOS),PALMONES,11379,POLIGONO P.I.MARISMAS DE PALMONES C/ MAR CANTABRICO PARCELA IT 2.12, 2,12,-5,430028,36,184806
gasolinera_17,ALICANTE,JACARILLA,JACARILLA,3310,CARRETERA JACARILLA-BENEJUZAR KM. 2,5,-0,859028,38,062972
