business_status,formatted_address,icon,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,photos
OPERATIONAL,"Calle José Saramago, 29660 Marbella, Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,ChIJjwmtC8Epcw0RDgkbD18iYIA,0.0,ChIJjwmtC8Epcw0RDgkbD18iYIA,"['point_of_interest', 'establishment']",0,36.4891,-4.9531,36.49044142989272,-4.951760220107277,36.48774177010728,-4.954459879892721,True,F2QW+JQ Marbella,8C8QF2QW+JQ,
OPERATIONAL,"Calle Las Violetas, 4, 29660 Marbella, Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,ChIJoVPED-wpcw0RmDYBVkfSkC8,0.0,ChIJoVPED-wpcw0RmDYBVkfSkC8,"['point_of_interest', 'establishment']",0,36.4898132,-4.9616535,36.49111002989272,-4.960286820107277,36.48841037010728,-4.962986479892721,True,F2QQ+W8 Marbella,8C8QF2QQ+W8,
OPERATIONAL,42 Calle Ribera Marbella 29660 ES,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,be.ENERGISED Charging Station,ChIJucCnbcApcw0RHaCTGqYX1QE,1.0,ChIJucCnbcApcw0RHaCTGqYX1QE,"['point_of_interest', 'establishment']",1,36.4860002,-4.9544023,36.48734662989272,-4.953049270107278,36.48464697010728,-4.955748929892722,True,F2PW+C6 Marbella,8C8QF2PW+C6,
OPERATIONAL,"Plaza de Cibeles, s/n, 29660 Marbella, Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,ChIJldTY8v7Vcg0R1GasPZiuSdQ,0.0,ChIJldTY8v7Vcg0R1GasPZiuSdQ,"['point_of_interest', 'establishment']",0,36.509707,-4.979749,36.51120327989272,-4.978375720107278,36.50850362010727,-4.981075379892722,,G25C+V4 Marbella,8C8QG25C+V4,"[{'height': 479, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/102309633661810611672"">Jesus Sanchez Jabalera</a>'], 'photo_reference': 'ATtYBwK4Z6s4yrXFJXBl8miPOqqg5HIBiiUaa0-K5X4xsAJyxMuymqihKsYWuYH9z4yJyZCcK4yfoHhE5RmLuyhoUP59RbP8yyvCCOsQZOjxivx3Rzn3PHvgXHE96GNUwrjfZIDTbg93P9a7Xm_7MCSu8vkq1spoKKf276nkPa-RJWShK3C5', 'width': 720}]"
OPERATIONAL,"Plaza Andalucía, s/n, 23400 Úbeda, Jaén",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,ChIJC11uoHn0bg0Ru_MKFYJSwRA,5.0,ChIJC11uoHn0bg0Ru_MKFYJSwRA,"['point_of_interest', 'establishment']",1,38.0109412,-3.3718719,38.01227882989273,-3.370490220107278,38.00957917010728,-3.373189879892723,,2J6H+97 Úbeda,8CCR2J6H+97,
OPERATIONAL,"Hotel Benabola, 3 Calle Benabola, Calle Benabola, 29660 Marbella, Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,ChIJOXWJCcApcw0Rjtof2MvOiN4,0.0,ChIJOXWJCcApcw0Rjtof2MvOiN4,"['point_of_interest', 'establishment']",0,36.485294,-4.954905999999999,36.48671052989273,-4.953357670107277,36.48401087010728,-4.956057329892721,,F2PW+42 Marbella,8C8QF2PW+42,
OPERATIONAL,"Calle Ramón Areces, s/n, 29660 Marbella, Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,ChIJt_8_aMEpcw0RJO_wh-D8HA4,0.0,ChIJt_8_aMEpcw0RJO_wh-D8HA4,"['point_of_interest', 'establishment']",0,36.489937,-4.952054,36.49140962989272,-4.950847270107278,36.48870997010728,-4.953546929892722,True,F2QX+X5 Marbella,8C8QF2QX+X5,
OPERATIONAL,"Andalucía Plaza, 4, 18196 Sierra Nevada, Granada",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,ChIJdbFvqjjdcQ0RwywcZffcvSY,0.0,ChIJdbFvqjjdcQ0RwywcZffcvSY,"['point_of_interest', 'establishment']",0,37.09317,-3.399329,37.09428732989271,-3.397889620107277,37.09158767010727,-3.400589279892722,True,3JV2+77 Sierra Nevada,8C9R3JV2+77,
OPERATIONAL,"3 Av. Molini Cirve, 41012",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,GiC - Gestion Inteligente de Cargas Charging Station,ChIJA002Nz5sEg0RxYEJU3eyT9Q,1.0,ChIJA002Nz5sEg0RxYEJU3eyT9Q,"['point_of_interest', 'establishment']",1,37.379102,-6.001195999999999,37.38048152989272,-5.999891120107278,37.37778187010728,-6.002590779892722,,9XHX+JG Sevilla,8C9M9XHX+JG,
OPERATIONAL,"Av. de Andalucía, 204, 28341 Valdemoro, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,ChIJC1lRcSAfQg0RYKf2vDB7JfM,0.0,ChIJC1lRcSAfQg0RYKf2vDB7JfM,"['point_of_interest', 'establishment']",0,40.21,-3.681,40.21131407989272,-3.679735720107278,40.20861442010727,-3.682435379892722,True,6869+2H Valdemoro,8CGR6869+2H,
OPERATIONAL,"Av de Sor Teresa Prat, 11, 29003 Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,ChIJJ-448X_3cg0R2lSoEcTJESw,4.3,ChIJJ-448X_3cg0R2lSoEcTJESw,"['point_of_interest', 'establishment']",16,36.7003502,-4.4391645,36.70167247989272,-4.437756170107278,36.69897282010728,-4.440455829892722,True,PH26+48 Málaga,8C8QPH26+48,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110172937302654199039"">Jesús Pérez</a>'], 'photo_reference': 'ATtYBwJJy44-lyMwgSbLV5mmxgLYZReZr2USsddtbDLn55yq5GTWQggC6kf7Ga6fYuopDJeURASEGdPF87QujfGsOWJnY-ovePuJT8OkHklntetP-gD6pqkOd1cP4MZxoEQQjTANM91UebWi28Xue9AbjysrzN9GXz1z50D88n9XYpVwmDWr', 'width': 3648}]"
OPERATIONAL,"06200 Almendralejo, Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EasyCharger Estación de carga,ChIJZ8f-nEUdFA0RRFmdH1gK1wk,5.0,ChIJZ8f-nEUdFA0RRFmdH1gK1wk,"['point_of_interest', 'establishment']",1,38.7099152,-6.400288700000001,38.71122867989272,-6.398793370107278,38.70852902010728,-6.401493029892722,True,PH5X+XV Almendralejo,8CCMPH5X+XV,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104224665181008969830"">Adrián Calvo Hallé</a>'], 'photo_reference': 'ATtYBwJDwNcpgPPXgXHQw2YrOVuapRPXDl9jciXNJ_1T0ttEyuZnkdxi7-nRpEpOcHM54e8OBekCL-5e3amu07qmDJ1ciaqEHcVWkW_qgjheyFrUUkrDxzTDXqGs5osqJeVFeq-FnenIk3ahFfRQuS-I7F2MDwBcaamM5-2lmFgmHJ4A9su_', 'width': 4608}]"
OPERATIONAL,"Calle Andalucía, 169, 34004 Palencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Charging Station,ChIJ77A_9NexRw0R8LpgPLjlFro,0.0,ChIJ77A_9NexRw0R8LpgPLjlFro,"['point_of_interest', 'establishment']",0,41.990766,-4.511121,41.99216507989271,-4.509809120107279,41.98946542010727,-4.512508779892722,True,XFRQ+8H Palencia,8CHQXFRQ+8H,
OPERATIONAL,"Calle Betis, 41010 Sevilla",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJ8Q2mYRNsEg0RIy2q1T49xJU,0.0,ChIJ8Q2mYRNsEg0RIy2q1T49xJU,"['point_of_interest', 'establishment']",0,37.385516,-6.002879,37.38681762989272,-6.001466820107278,37.38411797010727,-6.004166479892723,True,9XPW+6R Sevilla,8C9M9XPW+6R,
OPERATIONAL,"Av. de Velázquez, 389, 29004 Málaga",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJwcRetCv6cg0R6qyIUHG0Ny0,4.5,ChIJwcRetCv6cg0R6qyIUHG0Ny0,"['point_of_interest', 'establishment']",2,36.658543,-4.482724999999999,36.65989982989272,-4.481356770107277,36.65720017010728,-4.484056429892721,True,MG58+CW Málaga,8C8QMG58+CW,"[{'height': 679, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109185068800590779382"">Javi Mendez</a>'], 'photo_reference': 'ATtYBwKAlWPO07XhkPKi792y_21579pX9vHVYiv8QHOOBf8FwlS2VZCiXoERjKypkHphtDnuq95Xei9d2OWp00H6-70ee8kqtRKZP8nLiPJBqNg2e5-_WyVxFJEUwECKT3L43wAttqB5ax5tWh1eNeGs_DEc47LeDyvF0_NoeyMLwMl04Te_', 'width': 800}]"
OPERATIONAL,"Calle Sócrates, 0, 18002 Granada",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Clientes Charging Station,ChIJi8tO7JT8cQ0RYhFzC6cRqpo,5.0,ChIJi8tO7JT8cQ0RYhFzC6cRqpo,"['point_of_interest', 'establishment']",1,37.176527,-3.605102,37.17769832989272,-3.603565370107278,37.17499867010728,-3.606265029892722,True,59GV+JX Granada,8C9R59GV+JX,
OPERATIONAL,"Calle Cordoba, 15, 41550 Aguadulce, Sevilla",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Supercharger,ChIJqcUJ--dVbQ0RR1q6LRGVEXc,4.0,ChIJqcUJ--dVbQ0RR1q6LRGVEXc,"['point_of_interest', 'establishment']",1,37.2568683,-4.9861813,37.25821557989272,-4.984894920107279,37.25551592010727,-4.987594579892723,True,7247+PG Aguadulce,8C9Q7247+PG,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114422140102254366751"">Loren Serrano</a>'], 'photo_reference': 'ATtYBwJDwswZbNQxNifIgL1lUcgqg0jPE7E7-vNxAWCQD3Ns455b-3Vc18qLYus9nTlR3KMZJyFNQmE8mhtC_X7cnMn2PPJIwGmOduZyMtlA0GNTwukmrqtTU_F-KUcJqIYsR4V4utPfSIvU7SK6C3_VpbXnmWdPxCHfbjU5uWbHQYkRF3Ln', 'width': 4032}]"
OPERATIONAL,"Carretera N-iv K-173,100, 29, 13200 Manzanares, Cdad. Real",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Supercharger,ChIJEeZz4YsUaQ0RlPlHUv6vY6E,4.4,ChIJEeZz4YsUaQ0RlPlHUv6vY6E,"['point_of_interest', 'establishment']",38,39.0063666,-3.3832406,39.00775397989272,-3.381922020107277,39.00505432010728,-3.384621679892722,True,2J48+GP Manzanares,8CFR2J48+GP,"[{'height': 5472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112198127118664823617"">Andres lazaroth nuñez</a>'], 'photo_reference': 'ATtYBwKI1J_nof8uresrlxOvuwHQ8Wcj1tY_i95tg6geWXbCD7LBPVHnjeDVMySG-W0LRWCYmoJNMl8JBAPQx1mZzSo_HC-2bOoOvZwshJbhNH4imHFDz9XjeKiW5AlO56JOdtonigTQQqpscj_HLYurvPCMlULjMXjglOSCng7n0-MD213p', 'width': 7296}]"
OPERATIONAL,30008 Murcia,https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Estación de carga,ChIJXZc_rNWDYw0RqnMtrvtbODI,0.0,ChIJXZc_rNWDYw0RqnMtrvtbODI,"['point_of_interest', 'establishment']",0,37.9929655,-1.1303944,37.99430302989273,-1.129124520107278,37.99160337010728,-1.131824179892722,True,XVV9+5R Murcia,8C9WXVV9+5R,"[{'height': 1846, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/106136176963979644548"">Toto Olmos</a>'], 'photo_reference': 'ATtYBwJ3dyGcX4TsuRh5Ryhf8NX_8Op_2c1JlmDcZWmvJeVC88U42u6HEyHHTHFBZ2F0lgjmJkmp_lT7isQS6LEelPp8qrmy3e2nE_Go8GIEwz2RBHKrfBvPU9U-okP1Ndly1MOlCPWsPdkZGDPjIxTLdrtoSu1qMqxlU1Uq-OlmmoRI7_Af', 'width': 4000}]"
