business_status,formatted_address,icon,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
OPERATIONAL,"Autovía del Suroeste, Km . 200, 10350 Almaraz, Cáceres",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Supercharger,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/105379911213536904179"">A Google User</a>'], 'photo_reference': 'ATtYBwJtrVbmpefxjeg79Wfhik6OpdwhPsY607vZYAcksA5BtowM71DZhnDL8VcZg6N9j2jBVAdmxFAbvC0ZCJBnqkQY4sfY9aY536_OCZbc46K71vHw8AwYeG3KQ_TyW_eka-XgSG9qVjpGJr-3ytYgRjva2zcWEiHzxZcCZ20h0fVND9SX', 'width': 4032}]",ChIJB4Fh3gR_FQ0RG7SywLPx2ho,4.7,ChIJB4Fh3gR_FQ0RG7SywLPx2ho,"['point_of_interest', 'establishment']",23,39.7915144,-5.6955002,39.79287572989271,-5.694098120107278,39.79017607010727,-5.696797779892722,True,Q8R3+JQ Almaraz,8CFPQ8R3+JQ
OPERATIONAL,"Autovía de Extremadura, Salida, 163, 10392 Isla de Valdecanas, Cáceres",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Destination Charger,,ChIJsUAp6elfFQ0RJONIDMmp9Q8,0.0,ChIJsUAp6elfFQ0RJONIDMmp9Q8,"['point_of_interest', 'establishment']",0,39.837071,-5.379258,39.83840592989273,-5.377999820107278,39.83570627010729,-5.380699479892722,,RJPC+R7 Berrocalejo,8CFPRJPC+R7
OPERATIONAL,"Paseo de Extremadura, 2, 06260 Monesterio, Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Charging Station,,ChIJOyLM4PbcEw0RQs2O5KVh5nY,0.0,ChIJOyLM4PbcEw0RQs2O5KVh5nY,"['point_of_interest', 'establishment']",0,38.093548,-6.276211,38.09498382989273,-6.274711370107279,38.09228417010728,-6.277411029892723,True,3PVF+CG Monesterio,8CCM3PVF+CG
OPERATIONAL,"06800 Mérida, Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Tesla Supercharger,"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100985042837624526937"">Aritz Arandia</a>'], 'photo_reference': 'ATtYBwJuZHRPFXQfGZ7gRrsWzwtzOONA4xvLN2L3TDKDK0cbLN_kPJf1i5GuX0uqZb8ciG2LCGT2bI3AtEedjdOh9dfarc3M_PZze3bDqwa-A36ba0ZGRJL4q65YimIt_MmKB8-QXPsG6wg2ihdk-yur0pp4e5v-3yauOd_K4yuY-jejNKxd', 'width': 4032}]",ChIJq7ZlWBcnFA0RrrgcDvd_CGU,4.6,ChIJq7ZlWBcnFA0RrrgcDvd_CGU,"['point_of_interest', 'establishment']",10,38.9211108,-6.3757005,38.92243462989273,-6.374184770107278,38.91973497010728,-6.376884429892722,True,WJCF+CP Mérida,8CCMWJCF+CP
OPERATIONAL,"06200 Almendralejo, Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,EasyCharger Estación de carga,"[{'height': 2592, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104224665181008969830"">Adrián Calvo Hallé</a>'], 'photo_reference': 'ATtYBwJsVyKg5nvrsrGA7kWlmmTDjKzMj_eUonyblDD4t7W2oGfEaBnbM9w__Ea4IH_6gt2scVez5KCAEMoA2UpHpycI6CNTQZcfKv0lLtlIwUNLIAWNeGTNdu0PsI6Gv6iVFFYFJXO3vHKV1RCn0nju1IxQrcNEJaRh43LMhfdEnotO6H_E', 'width': 4608}]",ChIJZ8f-nEUdFA0RRFmdH1gK1wk,5.0,ChIJZ8f-nEUdFA0RRFmdH1gK1wk,"['point_of_interest', 'establishment']",1,38.7099152,-6.400288700000001,38.71122867989272,-6.398793370107278,38.70852902010728,-6.401493029892722,True,PH5X+XV Almendralejo,8CCMPH5X+XV
OPERATIONAL,"Calle Extremadura, 13, 34004 Palencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,ENDESA Charging Station,,ChIJqdDdgsuxRw0RzWqLLiHhv4E,0.0,ChIJqdDdgsuxRw0RzWqLLiHhv4E,"['point_of_interest', 'establishment']",0,42.004862,-4.518477,42.00617012989272,-4.517230270107278,42.00347047010727,-4.519929929892721,True,2F3J+WJ Palencia,8CJQ2F3J+WJ
OPERATIONAL,"6, CM-5102, 45560 Oropesa",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Charging Station,"[{'height': 3472, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112070856121995546106"">Miguel Angel Peña Morales</a>'], 'photo_reference': 'ATtYBwJsdDPENEXhWGdXjRvn1-YZxcO7289V9gO46QcekUboeSoP07LkhT54ODiZNuifQCJ2mW0sw5nRPzcF5LFsosDA9t6ZcskI7XvY-fZK3wvBhOzfYHxvHfSU2pmjnOLq9jsjvWG7QeTZ63uK0YZHPfgIcy1sB4j_9VWZYBJVy7AQQA6U', 'width': 4624}]",ChIJbwi_U_X8Pw0RWocSHNcgcR4,3.0,ChIJbwi_U_X8Pw0RWocSHNcgcR4,"['point_of_interest', 'establishment']",1,39.926884,-5.18534,39.92791977989273,-5.184109070107279,39.92522012010728,-5.186808729892722,True,WRG7+QV Oropesa,8CFPWRG7+QV
OPERATIONAL,"Calle Rio, 1, 45642 Cardiel de los Montes, Toledo",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estacion de Carga de Vehiculos Eléctricos,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112909164914339873067"">Jordi CiS</a>'], 'photo_reference': 'ATtYBwL1pYv-c_F9TZnbZX39ZBxQ3mOYxM1YbvdNJSBCcMPEjDE9ohKiOEO2ocIO08Miy4Pn968w_rU_54To8Afdbm7lbg-4RbVPRZv1WlYZ4qnrJckMa7iFEnHecT9b5ZtbG3DUp--VGz12-SkccmbMRn_Z-kKnepq-MOHmIk6gJ0uko1sE', 'width': 1600}]",ChIJ2Qx0eaU8QA0RMS6N8bVWKRo,5.0,ChIJ2Qx0eaU8QA0RMS6N8bVWKRo,"['point_of_interest', 'establishment']",1,40.0627739,-4.653042,40.06411697989272,-4.651701220107277,40.06141732010727,-4.654400879892722,True,387W+4Q Cardiel de los Montes,8CGQ387W+4Q
OPERATIONAL,"Av. de Elvas, S/N, 06006 Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,"[{'height': 1920, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100818636804170845553"">David Zambrano Agudo</a>'], 'photo_reference': 'ATtYBwJoxFkg3DgOI7Q93CwDuW24Ikfxpn_jRUN_XQ_bIXgM3Bx5Y96bgPxAFuPWASD9EG-qojZ6RcEgfby9TZkBQmgjOnEdL-RiRaAMG916pp1hc-YwMkf942oXnwA-jUvmy_BD50q-5reXwPT3PlcID0_RwBfjDWkMQ6Z7n6LGCxqfvYjc', 'width': 1080}]",ChIJz81FxD3jFg0RsYyt0WI4jns,0.0,ChIJz81FxD3jFg0RsYyt0WI4jns,"['point_of_interest', 'establishment']",0,38.8851783,-7.0217994,38.88652272989272,-7.020404870107277,38.88382307010728,-7.023104529892721,True,VXPH+37 Badajoz,8CCJVXPH+37
OPERATIONAL,"Av. Extremadura, 15, 06800 Mérida, Badajoz",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,Estación de servicio Cepsa AVDA. EXTREMADURA,"[{'height': 750, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110516253060316020002"">A Google User</a>'], 'photo_reference': 'ATtYBwKaELDJbGz8L3yit0ay3qkUf16mzyyAIufIBOh2fADABHNiSo64Rnf5OQNyfNOYXt2xg4IxnG0LU_J3X6Uau9i4BDH26ixMFW89UWY_9cGdICHpBobOZnfW_lluUwjf1lO0xdyvM-DqtXsQIDFdndOyypzWbpGZLB6erjFRPFa2nLlF', 'width': 750}]",ChIJuc54hZUmFA0RMURdv5zNNEw,4.2,ChIJuc54hZUmFA0RMURdv5zNNEw,"['gas_station', 'point_of_interest', 'establishment']",13,38.9204921,-6.3406037,38.92178987989272,-6.339263170107278,38.91909022010728,-6.341962829892722,True,WMC5+5Q Mérida,8CCMWMC5+5Q
