Origen;Destino;Distance_m;Distance_km;Duracion_seg;Duracion_min
Ciudad Real Bus;punto_recarga_1;401918;401.918;14577;242.95
Ciudad Real Bus;punto_recarga_2;402243;402.243;14550;242.5
Ciudad Real Bus;punto_recarga_3;401830;401.83;14619;243.65
Ciudad Real Bus;punto_recarga_4;401948;401.948;14735;245.58333333333334
Ciudad Real Bus;punto_recarga_5;402020;402.02;14702;245.03333333333333
Ciudad Real Bus;punto_recarga_6;402280;402.28;14632;243.86666666666667
Ciudad Real Bus;punto_recarga_7;348362;348.362;12964;216.06666666666666
Ciudad Real Bus;punto_recarga_8;353001;353.001;12996;216.6
Ciudad Real Bus;punto_recarga_9;342306;342.306;12524;208.73333333333332
Ciudad Real Bus;punto_recarga_10;349307;349.307;14537;242.28333333333333
Ciudad Real Bus;punto_recarga_11;348419;348.419;13022;217.03333333333333
Ciudad Real Bus;punto_recarga_12;342306;342.306;12524;208.73333333333332
Ciudad Real Bus;punto_recarga_13;344675;344.675;14394;239.9
Ciudad Real Bus;punto_recarga_14;370513;370.513;13544;225.73333333333332
Ciudad Real Bus;punto_recarga_15;350775;350.775;12868;214.46666666666667
Ciudad Real Bus;punto_recarga_16;348081;348.081;12902;215.03333333333333
Ciudad Real Bus;punto_recarga_17;336381;336.381;14115;235.25
Ciudad Real Bus;punto_recarga_18;336326;336.326;14081;234.68333333333334
Ciudad Real Bus;punto_recarga_19;351848;351.848;12993;216.55
Ciudad Real Bus;punto_recarga_20;336339;336.339;14086;234.76666666666668
Ciudad Real Bus;punto_recarga_21;367563;367.563;13444;224.06666666666666
Ciudad Real Bus;punto_recarga_22;151008;151.008;6656;110.93333333333334
Ciudad Real Bus;punto_recarga_23;243330;243.33;9462;157.7
Ciudad Real Bus;punto_recarga_24;151006;151.006;6655;110.91666666666667
Ciudad Real Bus;punto_recarga_25;166069;166.069;6686;111.43333333333334
Ciudad Real Bus;punto_recarga_26;293927;293.927;11838;197.3
Ciudad Real Bus;punto_recarga_27;255781;255.781;9624;160.4
Ciudad Real Bus;punto_recarga_28;252098;252.098;9284;154.73333333333332
Ciudad Real Bus;punto_recarga_29;252785;252.785;9453;157.55
Ciudad Real Bus;punto_recarga_30;253794;253.794;9389;156.48333333333332
Ciudad Real Bus;punto_recarga_31;251443;251.443;9380;156.33333333333334
Ciudad Real Bus;punto_recarga_32;254345;254.345;9813;163.55
Ciudad Real Bus;punto_recarga_33;327437;327.437;12898;214.96666666666667
Ciudad Real Bus;punto_recarga_34;326039;326.039;12666;211.1
Ciudad Real Bus;punto_recarga_35;281151;281.151;10917;181.95
Ciudad Real Bus;punto_recarga_36;286166;286.166;11329;188.81666666666666
Ciudad Real Bus;punto_recarga_37;326170;326.17;12737;212.28333333333333
Ciudad Real Bus;punto_recarga_38;320783;320.783;12043;200.71666666666667
Ciudad Real Bus;punto_recarga_39;270871;270.871;10414;173.56666666666666
Ciudad Real Bus;punto_recarga_40;283585;283.585;11003;183.38333333333333
Ciudad Real Bus;punto_recarga_41;321438;321.438;12232;203.86666666666667
Ciudad Real Bus;punto_recarga_42;321500;321.5;12269;204.48333333333332
Ciudad Real Bus;punto_recarga_43;321885;321.885;12152;202.53333333333333
Ciudad Real Bus;punto_recarga_44;651513;651.513;22838;380.6333333333333
Ciudad Real Bus;punto_recarga_45;188224;188.224;6772;112.86666666666666
Ciudad Real Bus;punto_recarga_46;203239;203.239;7241;120.68333333333334
Ciudad Real Bus;punto_recarga_47;205914;205.914;7751;129.18333333333334
Ciudad Real Bus;punto_recarga_48;177857;177.857;7302;121.7
Ciudad Real Bus;punto_recarga_49;229412;229.412;8480;141.33333333333334
Ciudad Real Bus;punto_recarga_50;301484;301.484;12503;208.38333333333333
Ciudad Real Bus;punto_recarga_51;269982;269.982;11230;187.16666666666666
Ciudad Real Bus;punto_recarga_52;289396;289.396;12799;213.31666666666666
Ciudad Real Bus;punto_recarga_53;245169;245.169;10472;174.53333333333333
Ciudad Real Bus;punto_recarga_54;310829;310.829;12703;211.71666666666667
Ciudad Real Bus;punto_recarga_55;241599;241.599;10508;175.13333333333333
Ciudad Real Bus;punto_recarga_56;249335;249.335;10725;178.75
Ciudad Real Bus;punto_recarga_57;212451;212.451;9233;153.88333333333333
Ciudad Real Bus;punto_recarga_58;256093;256.093;10814;180.23333333333332
Ciudad Real Bus;punto_recarga_59;186031;186.031;8440;140.66666666666666
Ciudad Real Bus;punto_recarga_60;310800;310.8;12635;210.58333333333334
Ciudad Real Bus;punto_recarga_61;242039;242.039;10610;176.83333333333334
Ciudad Real Bus;punto_recarga_62;436388;436.388;15625;260.4166666666667
Ciudad Real Bus;punto_recarga_63;442388;442.388;16055;267.5833333333333
Ciudad Real Bus;punto_recarga_64;438533;438.533;15839;263.98333333333335
Ciudad Real Bus;punto_recarga_65;52720;52.72;2016;33.6
Ciudad Real Bus;punto_recarga_66;79077;79.077;2792;46.53333333333333
Ciudad Real Bus;punto_recarga_67;1825;1.825;254;4.233333333333333
Ciudad Real Bus;punto_recarga_68;25547;25.547;1207;20.116666666666667
Ciudad Real Bus;punto_recarga_69;358914;358.914;12002;200.03333333333333
Ciudad Real Bus;punto_recarga_70;317268;317.268;10435;173.91666666666666
Ciudad Real Bus;punto_recarga_71;399123;399.123;13179;219.65
Ciudad Real Bus;punto_recarga_72;403795;403.795;13582;226.36666666666667
