Origen;Destino;Distance_m;Distance_km
A Corunia Tren;A Corunia Tren;0;0.0
A Corunia Tren;A Corunia Bus;1285;1285
A Corunia Tren;Albacete Tren;851015;851015
A Corunia Tren;Albacete Bus;850858;850858
A Corunia Tren;Alicante Tren;1015157;1015157
A Corunia Tren;Alicante Bus;1014176;1014176
A Corunia Tren;Almeria Tren;1132416;1132416
A Corunia Tren;Avila Tren;516856;516856
A Corunia Tren;Avila Bus;516358;516358
A Corunia Tren;Badajoz Tren;650085;650085
A Corunia Tren;Badajoz Bus;653863;653863
A Corunia Tren;Barcelona Tren;1080042;1080042
A Corunia Tren;Barcelona Bus;1089960;1089.96
A Corunia Tren;Bilbao Tren;543020;543.02
A Corunia Tren;Bilbao Bus;539532;539532
A Corunia Tren;Burgos Tren;485120;485.12
A Corunia Tren;Burgos Bus;483729;483729
A Corunia Tren;Caceres Tren;666402;666402
A Corunia Tren;Caceres Bus;667298;667298
A Corunia Tren;Cadiz Tren;1038349;1038349
A Corunia Tren;Cadiz Bus;1038296;1038296
A Corunia Tren;Castellon Tren;1012628;1012628
A Corunia Tren;Castellon Bus;1012489;1012489
A Corunia Tren;Ciudad Real Tren;774886;774886
A Corunia Tren;Ciudad Real Bus;792492;792492
A Corunia Tren;Cordoba Tren;983341;983341
A Corunia Tren;Cordoba Bus;983061;983061
A Corunia Tren;Cuenca Tren;758619;758619
A Corunia Tren;Cuenca Bus;758622;758622
A Corunia Tren;Girona Tren;1164595;1164595
A Corunia Tren;Girona Bus;1166640;1166.64
A Corunia Tren;Granada Tren;1005548;1005548
A Corunia Tren;Granada Bus;1002649;1002649
A Corunia Tren;Guadalajara Tren;647549;647549
A Corunia Tren;Guadalajara Bus;649544;649544
A Corunia Tren;Huelva Tren;945909;945909
A Corunia Tren;Huelva Bus;944743;944743
A Corunia Tren;Huesca Tren;847875;847875
A Corunia Tren;Huesca Bus;847756;847756
A Corunia Tren;Jaen Tren;920661;920661
A Corunia Tren;Jaen Bus;922895;922895
A Corunia Tren;Leon Tren;312159;312159
A Corunia Tren;Leon Bus;313039;313039
A Corunia Tren;Lerida Tren;927650;927.65
A Corunia Tren;Lerida Bus;926081;926081
A Corunia Tren;Logrono Tren;613992;613992
A Corunia Tren;Logrono Bus;613263;613263
A Corunia Tren;Lugo Tren;92432;92432
A Corunia Tren;Lugo Bus;96642;96642
A Corunia Tren;Madrid Tren;594262;594262
A Corunia Tren;Madrid Bus;595944;595944
A Corunia Tren;Malaga Tren;1125583;1125583
A Corunia Tren;Malaga Bus;1125008;1125008
A Corunia Tren;Murcia Tren;993894;993894
A Corunia Tren;Murcia Bus;994021;994021
A Corunia Tren;Ourense Tren;171354;171354
A Corunia Tren;Ourense Bus;171081;171081
A Corunia Tren;Oviedo Tren;284996;284996
A Corunia Tren;Oviedo Bus;286081;286081
A Corunia Tren;Palencia Tren;425680;425.68
A Corunia Tren;Palencia Bus;425150;425.15
A Corunia Tren;Pamplona Tren;689002;689002
A Corunia Tren;Pamplona Bus;690581;690581
A Corunia Tren;Pontevedra Tren;135579;135579
A Corunia Tren;Pontevedra Bus;135192;135192
A Corunia Tren;Salamanca Tren;459364;459364
A Corunia Tren;Salamanca Bus;458731;458731
A Corunia Tren;San Sebastian Tren;638309;638309
A Corunia Tren;Santander Tren;452946;452946
A Corunia Tren;Santander Bus;452644;452644
A Corunia Tren;Segovia Tren;525558;525558
A Corunia Tren;Segovia Bus;524857;524857
A Corunia Tren;Sevilla Tren;921972;921972
A Corunia Tren;Sevilla Bus;919007;919007
A Corunia Tren;Soria Tren;618990;618.99
A Corunia Tren;Soria Bus;618777;618777
A Corunia Tren;Tarragona Tren;1011712;1011712
A Corunia Tren;Tarragona Bus;1010455;1010455
A Corunia Tren;Teruel Tren;894598;894598
A Corunia Tren;Teruel Bus;894598;894598
A Corunia Tren;Toledo Tren;659042;659042
A Corunia Tren;Toledo Bus;656036;656036
A Corunia Tren;Valencia Tren;947232;947232
A Corunia Tren;Valencia Bus;947298;947298
A Corunia Tren;Valladolid Tren;437044;437044
A Corunia Tren;Valladolid Bus;435177;435177
A Corunia Tren;Vitoria Tren;594008;594008
A Corunia Tren;Vitoria Bus;597575;597575
A Corunia Tren;Zamora Tren;393135;393135
A Corunia Tren;Zamora Bus;395279;395279
A Corunia Tren;Zaragoza Tren;777655;777655
A Corunia Bus;A Corunia Tren;1159;1159
A Corunia Bus;A Corunia Bus;0;0.0
A Corunia Bus;Albacete Tren;851339;851339
A Corunia Bus;Albacete Bus;851182;851182
A Corunia Bus;Alicante Tren;1015481;1015481
A Corunia Bus;Alicante Bus;1014501;1014501
A Corunia Bus;Almeria Tren;1132740;1132.74
A Corunia Bus;Avila Tren;517180;517.18
A Corunia Bus;Avila Bus;516682;516682
A Corunia Bus;Badajoz Tren;650409;650409
A Corunia Bus;Badajoz Bus;654187;654187
A Corunia Bus;Barcelona Tren;1080366;1080366
A Corunia Bus;Barcelona Bus;1090284;1090284
A Corunia Bus;Bilbao Tren;543344;543344
A Corunia Bus;Bilbao Bus;539856;539856
A Corunia Bus;Burgos Tren;485444;485444
A Corunia Bus;Burgos Bus;484053;484053
A Corunia Bus;Caceres Tren;666726;666726
A Corunia Bus;Caceres Bus;667622;667622
A Corunia Bus;Cadiz Tren;1038673;1038673
A Corunia Bus;Cadiz Bus;1038620;1038.62
A Corunia Bus;Castellon Tren;1012952;1012952
A Corunia Bus;Castellon Bus;1012813;1012813
A Corunia Bus;Ciudad Real Tren;775210;775.21
A Corunia Bus;Ciudad Real Bus;792816;792816
A Corunia Bus;Cordoba Tren;983666;983666
A Corunia Bus;Cordoba Bus;983385;983385
A Corunia Bus;Cuenca Tren;758943;758943
A Corunia Bus;Cuenca Bus;758946;758946
A Corunia Bus;Girona Tren;1164919;1164919
A Corunia Bus;Girona Bus;1166964;1166964
A Corunia Bus;Granada Tren;1005872;1005872
A Corunia Bus;Granada Bus;1002973;1002973
A Corunia Bus;Guadalajara Tren;647873;647873
A Corunia Bus;Guadalajara Bus;649868;649868
A Corunia Bus;Huelva Tren;946233;946233
A Corunia Bus;Huelva Bus;945067;945067
A Corunia Bus;Huesca Tren;848199;848199
A Corunia Bus;Huesca Bus;848080;848.08
A Corunia Bus;Jaen Tren;920985;920985
A Corunia Bus;Jaen Bus;923219;923219
A Corunia Bus;Leon Tren;312483;312483
A Corunia Bus;Leon Bus;313363;313363
A Corunia Bus;Lerida Tren;927974;927974
A Corunia Bus;Lerida Bus;926405;926405
A Corunia Bus;Logrono Tren;614316;614316
A Corunia Bus;Logrono Bus;613587;613587
A Corunia Bus;Lugo Tren;92756;92756
A Corunia Bus;Lugo Bus;96966;96966
A Corunia Bus;Madrid Tren;594586;594586
A Corunia Bus;Madrid Bus;596268;596268
A Corunia Bus;Malaga Tren;1125907;1125907
A Corunia Bus;Malaga Bus;1125332;1125332
A Corunia Bus;Murcia Tren;994218;994218
A Corunia Bus;Murcia Bus;994345;994345
A Corunia Bus;Ourense Tren;171678;171678
A Corunia Bus;Ourense Bus;171405;171405
A Corunia Bus;Oviedo Tren;285320;285.32
A Corunia Bus;Oviedo Bus;286405;286405
A Corunia Bus;Palencia Tren;426004;426004
A Corunia Bus;Palencia Bus;425474;425474
A Corunia Bus;Pamplona Tren;689326;689326
A Corunia Bus;Pamplona Bus;690905;690905
A Corunia Bus;Pontevedra Tren;135903;135903
A Corunia Bus;Pontevedra Bus;135516;135516
A Corunia Bus;Salamanca Tren;459688;459688
A Corunia Bus;Salamanca Bus;459055;459055
A Corunia Bus;San Sebastian Tren;638633;638633
A Corunia Bus;Santander Tren;453270;453.27
A Corunia Bus;Santander Bus;452968;452968
A Corunia Bus;Segovia Tren;525882;525882
A Corunia Bus;Segovia Bus;525181;525181
A Corunia Bus;Sevilla Tren;922296;922296
A Corunia Bus;Sevilla Bus;919331;919331
A Corunia Bus;Soria Tren;619314;619314
A Corunia Bus;Soria Bus;619101;619101
A Corunia Bus;Tarragona Tren;1012036;1012036
A Corunia Bus;Tarragona Bus;1010779;1010779
A Corunia Bus;Teruel Tren;894922;894922
A Corunia Bus;Teruel Bus;894922;894922
A Corunia Bus;Toledo Tren;659367;659367
A Corunia Bus;Toledo Bus;656360;656.36
A Corunia Bus;Valencia Tren;947556;947556
A Corunia Bus;Valencia Bus;947622;947622
A Corunia Bus;Valladolid Tren;437368;437368
A Corunia Bus;Valladolid Bus;435501;435501
A Corunia Bus;Vitoria Tren;594332;594332
A Corunia Bus;Vitoria Bus;597900;597.9
A Corunia Bus;Zamora Tren;393459;393459
A Corunia Bus;Zamora Bus;395603;395603
A Corunia Bus;Zaragoza Tren;777979;777979
Albacete Tren;A Corunia Tren;851371;851371
Albacete Tren;A Corunia Bus;852033;852033
Albacete Tren;Albacete Tren;0;0.0
Albacete Tren;Albacete Bus;150;0.15
Albacete Tren;Alicante Tren;166746;166746
Albacete Tren;Alicante Bus;165765;165765
Albacete Tren;Almeria Tren;353629;353629
Albacete Tren;Avila Tren;370757;370757
Albacete Tren;Avila Bus;370259;370259
Albacete Tren;Badajoz Tren;528873;528873
Albacete Tren;Badajoz Bus;524049;524049
Albacete Tren;Barcelona Tren;542177;542177
Albacete Tren;Barcelona Bus;547186;547186
Albacete Tren;Bilbao Tren;640849;640849
Albacete Tren;Bilbao Bus;643123;643123
Albacete Tren;Burgos Tren;491996;491996
Albacete Tren;Burgos Bus;486040;486.04
Albacete Tren;Caceres Tren;510915;510915
Albacete Tren;Caceres Bus;511811;511811
Albacete Tren;Cadiz Tren;640938;640938
Albacete Tren;Cadiz Bus;640885;640885
Albacete Tren;Castellon Tren;268478;268478
Albacete Tren;Castellon Bus;268339;268339
Albacete Tren;Ciudad Real Tren;219222;219222
Albacete Tren;Ciudad Real Bus;219399;219399
Albacete Tren;Cordoba Tren;389396;389396
Albacete Tren;Cordoba Bus;389115;389115
Albacete Tren;Cuenca Tren;144351;144351
Albacete Tren;Cuenca Bus;144113;144113
Albacete Tren;Girona Tren;636752;636752
Albacete Tren;Girona Bus;638797;638797
Albacete Tren;Granada Tren;411603;411603
Albacete Tren;Granada Bus;408703;408703
Albacete Tren;Guadalajara Tren;289936;289936
Albacete Tren;Guadalajara Bus;289625;289625
Albacete Tren;Huelva Tren;620957;620957
Albacete Tren;Huelva Bus;619324;619324
Albacete Tren;Huesca Tren;456226;456226
Albacete Tren;Huesca Bus;456106;456106
Albacete Tren;Jaen Tren;326715;326715
Albacete Tren;Jaen Bus;328949;328949
Albacete Tren;Leon Tren;597975;597975
Albacete Tren;Leon Bus;597588;597588
Albacete Tren;Lerida Tren;507023;507023
Albacete Tren;Lerida Bus;505454;505454
Albacete Tren;Logrono Tren;559689;559689
Albacete Tren;Logrono Bus;558961;558961
Albacete Tren;Lugo Tren;761659;761659
Albacete Tren;Lugo Bus;760363;760363
Albacete Tren;Madrid Tren;254850;254.85
Albacete Tren;Madrid Bus;253766;253766
Albacete Tren;Malaga Tren;531637;531637
Albacete Tren;Malaga Bus;531062;531062
Albacete Tren;Murcia Tren;145483;145483
Albacete Tren;Murcia Bus;145610;145.61
Albacete Tren;Ourense Tren;763336;763336
Albacete Tren;Ourense Bus;763715;763715
Albacete Tren;Oviedo Tren;711599;711599
Albacete Tren;Oviedo Bus;708868;708868
Albacete Tren;Palencia Tren;522232;522232
Albacete Tren;Palencia Bus;524281;524281
Albacete Tren;Pamplona Tren;624648;624648
Albacete Tren;Pamplona Bus;621142;621142
Albacete Tren;Pontevedra Tren;874021;874021
Albacete Tren;Pontevedra Bus;873634;873634
