id,Provincia,Direccion,Latitud,Longitud,Coordenadas
A Corunia Tren,A Corunia,Estacion de Corunia,43.3525485,-8.4099873,"43.3525485,-8.4099873"
A Corunia Bus,A Corunia,Estacion de Autobuses de Corunia,43.3532682,-8.405151199999999,"43.3532682,-8.405151199999999"
Albacete Tren,Albacete,Estacion de Albacete,38.99983020000001,-1.8483506,"38.99983020000001,-1.8483506"
Albacete Bus,Albacete,Estacion de Autobuses de Albacete,38.99863970000001,-1.8473699,"38.99863970000001,-1.8473699"
Alicante Tren,Alicante,Estacion de Alicante,38.3445234,-0.4949254,"38.3445234,-0.4949254"
Alicante Bus,Alicante,Estacion de Autobuses de Alicante,38.3375356,-0.4915114,"38.3375356,-0.4915114"
Almeria Tren,Almeria,Estacion de Almeria,36.8351367,-2.4553867,"36.8351367,-2.4553867"
Avila Tren,Avila,Estacion de Avila,40.657255,-4.683312,"40.657255,-4.683312"
Avila Bus,Avila,Estacion de Autobuses de Avila,40.6591144,-4.682449699999999,"40.6591144,-4.682449699999999"
Badajoz Tren,Badajoz,Estacion de Badajoz,38.8906934,-6.981752999999999,"38.8906934,-6.981752999999999"
Badajoz Bus,Badajoz,Estacion de Autobuses de Badajoz,38.8668702,-6.9745487,"38.8668702,-6.9745487"
Barcelona Tren,Barcelona,Estacion de Barcelona,41.3792034,2.1400062,"41.3792034,2.1400062"
Barcelona Bus,Barcelona,Estacion de Autobuses de Barcelona,41.3947292,2.1826047,"41.3947292,2.1826047"
Bilbao Tren,Bilbao,Estacion de Bilbao,43.26022409999999,-2.9282161,"43.26022409999999,-2.9282161"
Bilbao Bus,Bilbao,Estacion de Autobuses de Bilbao,43.260356,-2.9491704,"43.260356,-2.9491704"
Burgos Tren,Burgos,Estacion de Burgos,42.371197,-3.666308,"42.371197,-3.666308"
Burgos Bus,Burgos,Estacion de Autobuses de Burgos,42.33827,-3.70127,"42.33827,-3.70127"
Caceres Tren,Caceres,Estacion de Caceres,39.461131,-6.385679,"39.461131,-6.385679"
Caceres Bus,Caceres,Estacion de Autobuses de Caceres,39.45671,-6.3835,"39.45671,-6.3835"
Cadiz Tren,Cadiz,Estacion de Cadiz,36.52839549999999,-6.2876058,"36.52839549999999,-6.2876058"
Cadiz Bus,Cadiz,Estacion de Autobuses de Cadiz,36.5269719,-6.2862034,"36.5269719,-6.2862034"
Castellon Tren,Castellon,Estacion de Castellon,39.9883311,-0.0522753,"39.9883311,-0.0522753"
Castellon Bus,Castellon,Estacion de Autobuses de Castellon,39.9893464,-0.0513273,"39.9893464,-0.0513273"
Ciudad Real Tren,Ciudad Real,Estacion de Ciudad Real,38.9848451,-3.913199499999999,"38.9848451,-3.913199499999999"
Ciudad Real Bus,Ciudad Real,Estacion de Autobuses de Ciudad Real,38.979321,-3.929913,"38.979321,-3.929913"
Cordoba Tren,Cordoba,Estacion de Cordoba,37.8884888,-4.7895246,"37.8884888,-4.7895246"
Cordoba Bus,Cordoba,Estacion de Autobuses de Cordoba,37.8892024,-4.7895843,"37.8892024,-4.7895843"
Cuenca Tren,Cuenca,Estacion de Cuenca,40.06734,-2.136471,"40.06734,-2.136471"
Cuenca Bus,Cuenca,Estacion de Autobuses de Cuenca,40.0668853,-2.1350481,"40.0668853,-2.1350481"
Girona Tren,Girona,Estacion de Girona,41.9793477,2.8169214,"41.9793477,2.8169214"
Girona Bus,Girona,Estacion de Autobuses de Girona,41.9790295,2.8154452,"41.9790295,2.8154452"
Granada Tren,Granada,Estacion de Granada,37.184038,-3.609154,"37.184038,-3.609154"
Granada Bus,Granada,Estacion de Autobuses de Granada,37.199694,-3.613654,"37.199694,-3.613654"
Guadalajara Tren,Guadalajara,Estacion de Guadalajara,40.6440624,-3.1821188,"40.6440624,-3.1821188"
Guadalajara Bus,Guadalajara,Estacion de Autobuses de Guadalajara,40.63636839999999,-3.1732084,"40.63636839999999,-3.1732084"
Huelva Tren,Huelva,Estacion de Huelva,37.2530782,-6.9509813,"37.2530782,-6.9509813"
Huelva Bus,Huelva,Estacion de Autobuses de Huelva,37.2574668,-6.9575692,"37.2574668,-6.9575692"
Huesca Tren,Huesca,Estacion de Huesca,42.1327339,-0.409677,"42.1327339,-0.409677"
Huesca Bus,Huesca,Estacion de Autobuses de Huesca,42.1334312,-0.4094981,"42.1334312,-0.4094981"
Jaen Tren,Jaen,Estacion de Jaen,37.779827,-3.790798,"37.779827,-3.790798"
Jaen Bus,Jaen,Estacion de Autobuses Jaen,37.771601,-3.786711699999999,"37.771601,-3.786711699999999"
Leon Tren,Leon,Estacion de Leon,42.5952996,-5.5815331,"42.5952996,-5.5815331"
Leon Bus,Leon,Estacion de Autobuses de Leon,42.5933612,-5.5791496,"42.5933612,-5.5791496"
