business_status,formatted_address,icon,name,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code,photos,permanently_closed
OPERATIONAL,"Av. Adolfo Suárez, 30, 16400 Tarancón, Cuenca",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Iberdrola Estación de carga,ChIJe1T9NISBQg0RxkKHhnpRSVg,3.0,ChIJe1T9NISBQg0RxkKHhnpRSVg,"['point_of_interest', 'establishment']",2,40.0063516,-3.0189852,40.00771242989273,-3.017608120107278,40.00501277010728,-3.020307779892722,True,2X4J+GC Tarancón,8CGR2X4J+GC,,
OPERATIONAL,"Calle Don Quijote de la Mancha, 6, 02610 El Bonillo, Albacete",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de Carga para Vehículo Eléctricos,ChIJOVqkARqhaA0RAJPQMJZJs-o,5.0,ChIJOVqkARqhaA0RAJPQMJZJs-o,"['point_of_interest', 'establishment']",1,38.9524915,-2.5373962,38.95383427989272,-2.536047520107278,38.95113462010728,-2.538747179892722,True,XF27+X2 El Bonillo,8CCVXF27+X2,"[{'height': 1102, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104804154372936231811"">Damian Garcia</a>'], 'photo_reference': 'ATtYBwK6SYO_XsG74iAWHaSpe-oDH2GsnVJQdpmmgmFTYcDRRMmnAS0v-hZjawElmGVOylxYmV30Nq5eFHs0ELsGC_1LwT8dDtZICk4CxBKF-pZdH9ObeFYHJV9JFlGNOsYiXADSwK39qcdBWQZEiqYcJAf0q9BtP6Kpygy9LRRUMr2Ond_L', 'width': 1645}]",
OPERATIONAL,"Calle Sector 12, 46P, 45280, Toledo",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJIzXaVfnhQQ0R862xf1ECqGQ,1.0,ChIJIzXaVfnhQQ0R862xf1ECqGQ,"['point_of_interest', 'establishment']",1,39.9450219,-3.996651,39.94635927989273,-3.995239920107278,39.94365962010728,-3.997939579892722,,W2W3+28 Olías del Rey,8CFRW2W3+28,,
OPERATIONAL,"Av. de Elena Soriano, 10A, 28597 Fuentidueña de Tajo, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJrQEIj11jQg0RtPIjRfgfQx4,5.0,ChIJrQEIj11jQg0RtPIjRfgfQx4,"['point_of_interest', 'establishment']",1,40.1186841,-3.1618849,40.12005122989271,-3.160493270107278,40.11735157010727,-3.163192929892722,True,4R9Q+F6 Fuentidueña de Tajo,8CGR4R9Q+F6,"[{'height': 4000, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117353380988194004178"">admin</a>'], 'photo_reference': 'ATtYBwKh28gf2OD9OpaOg_1yk5S3LCmcYobkx30JWnOvL6DD_i_Hvp_UdnQmeTp69fNoGWoWB8r9cZwErSFCqHTSztJjwXHjsmt093GNwES5aMvzvBbSUlw0NdInkERC-VCnonGGoAw_N0simtrzEfaBGWV6qbnLp8SIxMCvWWyPkqPUvL5s', 'width': 2250}]",
OPERATIONAL,"28597 Fuentidueña de Tajo, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJffbsN2VjQg0RhnblWZT5ER8,4.0,ChIJffbsN2VjQg0RhnblWZT5ER8,"['point_of_interest', 'establishment']",3,40.1201168,-3.1522568,40.12145767989272,-3.150960520107277,40.11875802010728,-3.153660179892722,True,4RCX+23 Fuentidueña de Tajo,8CGR4RCX+23,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/110113973082840254443"">Irene Cano</a>'], 'photo_reference': 'ATtYBwL7J-PjlZ52f3s_pd-KP6oGiE_hN0jGpDs_9kDtELnRdBGOQnC6bWS6Y1Y43CFYoH5q0eJL7R1Kqcf4OENttOf_Vn9v_X9evtTj62tGie6Rc94uEZXcpgCdTffFBniF78hflXfHsbvjYQH4n8UGUvxYXo3kDe72W8FPVrMdMya6jqtM', 'width': 1600}]",
OPERATIONAL,"45200 Illescas, Toledo",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJC9E0DLrxQQ0RA8jHdZuixq8,5.0,ChIJC9E0DLrxQQ0RA8jHdZuixq8,"['point_of_interest', 'establishment']",2,40.1525151,-3.8363647,40.15384252989271,-3.834958670107278,40.15114287010727,-3.837658329892722,True,5537+2F Illescas,8CGR5537+2F,"[{'height': 3096, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111705062472829413014"">A Google User</a>'], 'photo_reference': 'ATtYBwIR4nSCl-BItE7e5j7hd48wEzqEoLAEBpnBNmZ0XabsJU-7KFLGRjEyPsH9u5cMs0DxJ27anCQ4F89CT5mUm2IvtV4omA3MGaSDL-YVgJjFZbLFsHfqNHM0UxLSNgdyKVHhfffbbfi0gVEW_pmn3jM25u8wM-N4s3v7Ldy0DjqBlxCf', 'width': 4128}]",
OPERATIONAL,"Calle Valhondo, 3V, 45520 Villaluenga de la Sagra, Toledo",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,ChIJ1wSVf2blQQ0RK75Tou3VheQ,5.0,ChIJ1wSVf2blQQ0RK75Tou3VheQ,"['point_of_interest', 'establishment']",1,40.043083,-3.9172432,40.04441962989272,-3.915860420107278,40.04171997010728,-3.918560079892722,True,23VM+64 Villaluenga de la Sagra,8CGR23VM+64,"[{'height': 4344, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/108351976522628143787"">jjsaura @ aruas . com</a>'], 'photo_reference': 'ATtYBwL0InDx1uxVsRemvzNGTZcmRX8kfDCYqcJ2XBw-ykhxZjs-L6fSziT1CawcKliug5unmxyV-lKhRTm8uwopcQCf_g-Z606fvCj14wi3feRSBhTv6uuPwCz8sHTHQtINeq2IRul67FKiamdOdrTRiDj8omWh8VSzfOp3Bk-YsTmlTo-2', 'width': 5792}]",
OPERATIONAL,"Av. de los Alcotanes, 2, 28320 Pinto, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Endesa Estación de carga,ChIJXfyWV4YfQg0R7-ck6HboOuk,0.0,ChIJXfyWV4YfQg0R7-ck6HboOuk,"['point_of_interest', 'establishment']",0,40.246436,-3.71062,40.24779247989271,-3.709261170107277,40.24509282010726,-3.711960829892721,True,67WQ+HQ Pinto,8CGR67WQ+HQ,,
OPERATIONAL,"Calle Rio, 1, 45642 Cardiel de los Montes, Toledo",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estacion de Carga de Vehiculos Eléctricos,ChIJ2Qx0eaU8QA0RMS6N8bVWKRo,5.0,ChIJ2Qx0eaU8QA0RMS6N8bVWKRo,"['point_of_interest', 'establishment']",1,40.0627739,-4.653042,40.06411697989272,-4.651701220107277,40.06141732010727,-4.654400879892722,True,387W+4Q Cardiel de los Montes,8CGQ387W+4Q,"[{'height': 1200, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/112909164914339873067"">Jordi CiS</a>'], 'photo_reference': 'ATtYBwKnA1NyfjkMTPgUkgGQxkVVl6eV_Cfs2eqP0wlIGWLUTaEWwCKZbaVqzjaKsZkl0F-0nQWBZZDyl0LyiMswPgqDLNQnIboc72iHKTnc5TZ5beufdRxGY2tENKof5d8nW18LG5gJzmcq2EQYfA9Ho6cexC6UQp0PR_PNkIl97OiFvvEp', 'width': 1600}]",
OPERATIONAL,"HOTEL LA ATALAYA - CARGACOCHES, Autovía del Este, km 62.500, 28597 Fuentidueña de Tajo, Madrid",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Chargemaster Charging Station,ChIJQ8AALjxjQg0RqXP-BkdImwc,0.0,ChIJQ8AALjxjQg0RqXP-BkdImwc,"['point_of_interest', 'establishment']",0,40.12010600000001,-3.152257,40.12144687989273,-3.150959020107278,40.11874722010728,-3.153658679892723,,4RCX+23 Fuentidueña de Tajo,8CGR4RCX+23,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109185068800590779382"">Javi Mendez</a>'], 'photo_reference': 'ATtYBwJJUo0HmsNUK9QomHXNw3O2EHs14ZvJl6GB-MjADEWMpYMNyJKoiRUxCARLsybHTDdia0DgpFwvbvKsjdCjyvfMJrnalkrpfLmINiaFc9p42I_YIDLZ3Zp_hv5O6_RgMlnkLMM3Yu1qSOfq4hFN-3F5DV7SaL2ctKS6VLZJaGCy9cLE', 'width': 601}]",
