business_status,formatted_address,icon,name,photos,place_id,rating,reference,types,user_ratings_total,geometry.location.lat,geometry.location.lng,geometry.viewport.northeast.lat,geometry.viewport.northeast.lng,geometry.viewport.southwest.lat,geometry.viewport.southwest.lng,opening_hours.open_now,plus_code.compound_code,plus_code.global_code
OPERATIONAL,"Av. de los Hermanos Machado, 137, 46025 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Lugenergy Estación de carga,"[{'height': 1600, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/103463948704173580992"">LugEnergy</a>'], 'photo_reference': 'ATtYBwIY0JBjyf4p_5IMg5dgYi39M2dmsUhHarvDCwhp1LmjT-dKe0zDVBTMcyDuaRWI9q5VGJKIMondpezs7jWVizSSQRrqftYTypYqoWgEd9qYUjwSqlsSOoGsRDP6tBm7ql4dhziDEL5Ar9BqTfe0CsMKBzeS1E-3IP40eo9_i3cl-sCB', 'width': 1200}]",ChIJQe4HfUxPYA0RceNWjkOE2lU,5.0,ChIJQe4HfUxPYA0RceNWjkOE2lU,"['point_of_interest', 'establishment']",234,39.4978749,-0.3826875,39.49925057989272,-0.3812599701072777,39.49655092010727,-0.3839596298927222,False,FJX8+4W Valencia,8CFXFJX8+4W
OPERATIONAL,"Carrer de José Pomer, 3, 46920 Mislata, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,"[{'height': 1280, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100308234043437542135"">Juan Almero Sangüesa</a>'], 'photo_reference': 'ATtYBwIEIZUbcC9Xbl7SDuh65oTDaNuy84FPRxratAxBplZfCIN6Ap0tLolRewLJrJBC-gAtgS8NRAFfwhF8hKqxs07RHJPiJDpRcYaSq47KMX9oLtvuy683-V2I-wJlGhyTKcPYn-CdgCBxyj0MUg9XV5jqGSTBVm-cQZTA7WpmvTaJxKYl', 'width': 960}]",ChIJB880fjpPYA0RBzX0pSk0bKA,3.0,ChIJB880fjpPYA0RBzX0pSk0bKA,"['point_of_interest', 'establishment']",2,39.4754183,-0.4182892,39.47678547989272,-0.4169243201072777,39.47408582010727,-0.4196239798927222,True,FHGJ+5M Mislata,8CFXFHGJ+5M
OPERATIONAL,"Unknown, 46370 Cirve",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,GiC Estación de carga,,ChIJl9hjMhr4YA0RdH_rcL_2H10,0.0,ChIJl9hjMhr4YA0RdH_rcL_2H10,"['point_of_interest', 'establishment']",0,39.4768898,-0.6150112,39.47824592989272,-0.6136350701072777,39.47554627010727,-0.6163347298927221,,F9GM+QX Loriguilla,8CFXF9GM+QX
OPERATIONAL,"46340 Requena, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,,ChIJJfDixQPPYA0RfHCseqb7Cp8,5.0,ChIJJfDixQPPYA0RfHCseqb7Cp8,"['point_of_interest', 'establishment']",1,39.4868327,-1.0975774,39.48822692989273,-1.096221970107278,39.48552727010728,-1.098921629892722,True,FWP2+PX Requena,8CFWFWP2+PX
OPERATIONAL,"Calle de Villajoyosa, 4, 46340 Requena, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación carga EV,,ChIJKZXt92vPYA0RFQToy-DtW7k,0.0,ChIJKZXt92vPYA0RFQToy-DtW7k,"['point_of_interest', 'establishment']",0,39.4877119,-1.1017878,39.48894862989273,-1.100450670107278,39.48624897010728,-1.103150329892722,True,FVQX+37 Requena,8CFWFVQX+37
OPERATIONAL,"46711 Miramar, Valencia, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,estacion de carga,"[{'height': 400, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/104420820434853468912"">Roberto Catala Pardo</a>'], 'photo_reference': 'ATtYBwJDr5DV6-sC3qbGDrhivH3r6t9IAXaEFHJC4n46rlqVjpiT3Nws1pBxiUD4DOw4m7ljgoWk_4dQTNGTfwkmDqs_eXxn_0mTzv5PM2VZPjg43_vY5RDvx42l_0DUX66mVL7NnNLsJfKbKyFzTT6Ia6tJDh7W2V2SjLdX8iY6g2GrEaG_', 'width': 670}]",ChIJyz86itLnYQ0RhRmh1uN4Oyg,5.0,ChIJyz86itLnYQ0RhRmh1uN4Oyg,"['point_of_interest', 'establishment']",6,38.9483404,-0.1410664,38.94965082989273,-0.1396851201072778,38.94695117010728,-0.1423847798927222,True,WVX5+8H Miramar,8CCXWVX5+8H
OPERATIONAL,"46800 Xàtiva, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estación de carga de vehículos eléctricos,"[{'height': 2736, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/113156172577140064702"">optimovil</a>'], 'photo_reference': 'ATtYBwIHK62ckflX6Tw89PnTy1vF5ud76Ha_54CH5lPTlkZDhcKlzpAh5WOawBJqf5Cnp_BTmriheNdbL9l3WYfcHDrqMYcZUAet1hhZTd2nueMdHHdWH5Ycxobuqyvb64WH3dU22RUkCGtTunxchmYhokPXpV-Ki_SvbIsDPSX3xBMXicSU', 'width': 3648}]",ChIJUaPGClihYQ0RMuY1KTOLTs0,0.0,ChIJUaPGClihYQ0RMuY1KTOLTs0,"['point_of_interest', 'establishment']",0,38.997079,-0.5270946,38.99843567989273,-0.5257033701072777,38.99573602010728,-0.5284030298927223,,XFWF+R5 Játiva,8CCXXFWF+R5
OPERATIONAL,"Av. de los Hermanos Machado, 137, 46025 Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,V2C Estación de carga,,ChIJ74pe1glGYA0RNF3dWUa4Azw,5.0,ChIJ74pe1glGYA0RNF3dWUa4Azw,"['point_of_interest', 'establishment']",5,39.4979436,-0.3824427,39.49928262989272,-0.3811370201072778,39.49658297010728,-0.3838366798927222,False,FJX9+52 Valencia,8CFXFJX9+52
OPERATIONAL,"Carrer de l'Hospital, 1, 46001 València, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Punto de Recarga Parking Avenida del Oeste,,ChIJaaxWpE5PYA0Rj3-G4by0oLg,5.0,ChIJaaxWpE5PYA0Rj3-G4by0oLg,"['point_of_interest', 'establishment']",1,39.4708203,-0.3804635,39.47238332989272,-0.3787927701072777,39.46968367010727,-0.3814924298927223,True,FJC9+8R Valencia,8CFXFJC9+8R
OPERATIONAL,"Av. del Deporte, 46300 Utiel, Valencia",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,Estacion de carga EV,"[{'height': 800, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109185068800590779382"">Javi Mendez</a>'], 'photo_reference': 'ATtYBwJaqy1PsLNSdke5b2YIkA95o8k_qWb4v6_RUylfh9-9-ekhOTyvw_EJvj8g_KHHwb4gGROjn--q4jmDrQztkHyUXaStika4cesPdW7_7VVP0FnBBGkVfizTLNfIScfDiAV4a8L9O4DJsA9osX97xeslpFQQp2cRp39bhpoGrKKyyGkm', 'width': 450}]",ChIJRVJOklrLYA0RB1WhT_ZkODQ,0.0,ChIJRVJOklrLYA0RB1WhT_ZkODQ,"['point_of_interest', 'establishment']",0,39.5724794,-1.2108903,39.57382147989272,-1.209548920107278,39.57112182010728,-1.212248579892722,True,HQCQ+XJ Utiel,8CFWHQCQ+XJ
