id,nombre,parroquia,barrio,calle,numero,lat,lon,codigo_postal,telefono,web
5390,Parking Centro Comercial Gran Vía,FREIXEIRO,FREIXEIRO,RUA MIRADOIRO (DO),2,42.22039,-8.72426,36210,986447500,http://www.granviadevigo.com
5112,Parking Urzáiz,VIGO,VIGO,RUA URZAIZ,0,42.23596,-8.71962,36201,986442339,http://www.eloymartranvias.com/es/urzaiz.html
5127,Parking Areal,,,RUA AREAL,,42.23953,-8.71860,36201,986223225,
5128,Parking Pintor Colmeiro,VIGO,VIGO,RUA PINTOR COLMEIRO,,42.22535,-8.72597,36211,986413419,http://www.eloymartranvias.com/es/colmeiro.html
5129,Parking Policarpo Sanz,,,RUA POLICARPO SANZ,0,42.23760,-8.72414,,986229404,http://www.eloymartranvias.com/es/policarpo.html
5130,Parking Independencia,VIGO,VIGO,PRAZA INDEPENDENCIA,0,42.22373,-8.73014,36211,,http://www.eloymartranvias.com/es/independencia.html
5389,Parking Praza Portugal,,,PRAZA PORTUGAL,,42.23596,-8.71847,,,http://www.empark.com
5391,Centro Comercial Travesía de Vigo,VIGO,VIGO,RUA TRAVESIA DE VIGO,202,42.24307,-8.69659,36207,986277908,https://www.cctravesia.com/
5392,Parking interior Hospital Álvaro Cunqueiro,BEADE,BABIO,ESTDA CLARA CAMPOAMOR,341,42.18974,-8.71528,36212,986811111,https://xxivigo.sergas.gal/Paxinas/web.aspx
5393,Parking Escola Universitaria Filoloxía,,,RUA CUMIEIRA (DA),,42.16991,-8.67669,,,http://www.uvigo.gal
5394,Parking instalacións deportivas - Universidade de Vigo,,,PRAZA ENRIC MIRALLES,,42.17098,-8.68231,,,http://www.uvigo.gal
5395,Parking CACTI - Universidade de Vigo,,,RUA XERACION NOS,,42.17089,-8.68596,,,http://www.uvigo.gal
5396,Parking Ciencias do Mar - Universidade de Vigo,,,RUA FONTE DAS ABELLEIRAS,,42.16777,-8.68577,,,http://www.uvigo.gal
