id;latitude;longitude;name;streetName;provincia;ccaa;postalCode;connectorType;ratedPowerKW;num_connectors
punto_recarga_1;36.4891;-4.9531;Marbella Calle Marqués del Duero;Calle Marqués del Duero;Málaga;Andalusia;29670;StandardHouseholdCountrySpecific;2.8;1
punto_recarga_2;36.48981320000001;-4.9616535000000015;Marbella Calle de las Rosas;Calle de las Rosas;Málaga;Andalusia;29670;IEC62196Type2Outlet;7.4;1
punto_recarga_3;36.48600020000001;-4.9544023;Tesla Marbella Urbanización del Puente Romano;Urbanización del Puente Romano;Málaga;Andalusia;29602;Tesla;;1
punto_recarga_4;36.509707;-4.979749;Marbella Avenida de la Ribera;Avenida de la Ribera;Málaga;Andalusia;29660;IEC62196Type2Outlet;22.2;1
punto_recarga_5;36.485294;-4.9549059999999985;Tesla Marbella Urbanización del Puente Romano;Urbanización del Puente Romano;Málaga;Andalusia;29602;Tesla;;1
punto_recarga_6;36.489937;-4.952054;Tesla Marbella Plaza de Cibeles;Plaza de Cibeles;Málaga;Andalusia;29660;Tesla;;1
punto_recarga_7;36.7003502;-4.4391644999999995;Tesla Málaga Calle Hilera;Calle Hilera;Málaga;Andalusia;29007;Tesla;;1
punto_recarga_8;36.658543;-4.4827249999999985;Tesla Málaga Avenida de Velázquez;Avenida de Velázquez;Málaga;Andalusia;29004;Tesla;;1
punto_recarga_9;36.7187625;-4.49456;Málaga Calle de Casares;Calle de Casares;Málaga;Andalusia;29004;['IEC60309AC1PhaseBlue', 'StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8, 11.1];3
punto_recarga_10;36.7209434;-5.1724185999999985;Benahavís;;Málaga;Andalusia;29678;IEC62196Type2Outlet;22.2;1
punto_recarga_11;36.704313899999995;-4.4401361;Tesla Málaga Calle Hilera;Calle Hilera;Málaga;Andalusia;29007;Tesla;;1
punto_recarga_12;36.7188333;-4.4943306;Málaga Calle de Casares;Calle de Casares;Málaga;Andalusia;29004;['IEC60309AC1PhaseBlue', 'StandardHouseholdCountrySpecific', 'IEC62196Type2Outlet'];[2.8, 2.8, 11.1];3
punto_recarga_13;36.7484192;-5.161958400000001;Benahavís;;Málaga;Andalusia;29678;IEC62196Type2Outlet;22.2;1
punto_recarga_14;36.7372871;-4.1018186000000005;Tesla Nerja Calle Almuñécar;Calle Almuñécar;Málaga;Andalusia;29780;Tesla;;1
