name,formatted_address,latitude,longitude
ENDESA Charging Station,"Calle José Saramago, 29660 Marbella, Málaga",36.4891,-4.9531
Tesla Destination Charger,"Calle Las Violetas, 4, 29660 Marbella, Málaga",36.48981320000001,-4.961653500000001
be.ENERGISED Charging Station,42 Calle Ribera Marbella 29660 ES,36.48600020000001,-4.9544023
Tesla Destination Charger,"Plaza de Cibeles, s/n, 29660 Marbella, Málaga",36.509707,-4.979749
Tesla Destination Charger,"Plaza Andalucía, s/n, 23400 Úbeda, Jaén",38.0109412,-3.3718719
Tesla Destination Charger,"Hotel Benabola, 3 Calle Benabola, Calle Benabola, 29660 Marbella, Málaga",36.485294,-4.9549059999999985
ENDESA Charging Station,"Calle Ramón Areces, s/n, 29660 Marbella, Málaga",36.489937,-4.952054
ENDESA Charging Station,"Andalucía Plaza, 4, 18196 Sierra Nevada, Granada",37.09317,-3.3993290000000003
GiC - Gestion Inteligente de Cargas Charging Station,"3 Av. Molini Cirve, 41012",37.379102,-6.001195999999998
ENDESA Charging Station,"Av. de Andalucía, 204, 28341 Valdemoro, Madrid",40.21,-3.681
Tesla Destination Charger,"Av de Sor Teresa Prat, 11, 29003 Málaga",36.7003502,-4.4391644999999995
EasyCharger Estación de carga,"06200 Almendralejo, Badajoz",38.7099152,-6.400288700000001
Iberdrola Charging Station,"Calle Andalucía, 169, 34004 Palencia",41.990766,-4.511121
Iberdrola Clientes Charging Station,"Calle Betis, 41010 Sevilla",37.385515999999996,-6.002879
Iberdrola Clientes Charging Station,"Av. de Velázquez, 389, 29004 Málaga",36.658543,-4.4827249999999985
Iberdrola Clientes Charging Station,"Calle Sócrates, 0, 18002 Granada",37.176527,-3.6051019999999996
Tesla Supercharger,"Calle Cordoba, 15, 41550 Aguadulce, Sevilla",37.256868299999994,-4.986181299999999
Tesla Supercharger,"Carretera N-iv K-173,100, 29, 13200 Manzanares, Cdad. Real",39.0063666,-3.3832406
Iberdrola Estación de carga,30008 Murcia,37.992965500000004,-1.1303944
Concesionario Renault Japemasa,"Avenida Andalucía, S/N, 18015 Granada",37.198289,-3.6367910000000006
ESTACION ADIF,"SE-766, 41590 La Roda de Andalucía, Sevilla",37.2093876,-4.7750433
Iberdrola Clientes Charging Station,41400 Sevilla,37.3868593,-5.999740099999999
Andalucia Tech,29010 Málaga,36.7187625,-4.49456
Estación Naturgy Sevilla-Tussam,"Av. de Andalucía, 11, 41007 Sevilla",37.3871876,-5.9458237
Camping El Sur,"Carretera Ronda-Algeciras, Km 1.5, 29400 Ronda, Málaga",36.7209434,-5.1724185999999985
Princesa - Huelin,29003 Málaga,36.704313899999995,-4.4401361
Andalucía Tech,29010 Málaga,36.7188333,-4.4943306
Estacíon de Ronda Adif,"Av. Andalucía, 31, 29400 Ronda, Málaga",36.7484192,-5.161958400000001
Estación Naturgy Granada,"Avenida de Andalucía, s/n BO PP-I5 Fatinafar I, 18015 Granada",37.197532700000004,-3.6412093
Estación de servicio Cepsa,"Virgen Del Carmen, 1, 41420 Fuentes de Andalucía, Sevilla",37.464864,-5.342735999999999
Lugenergy Estación de carga,"Av. de los Hermanos Machado, 137, 46025 Valencia",39.4978749,-0.3826875
Estación de Servicio Repsol,"N-334, 124,8 IZ, 41590 La Roda de Andalucía, Sevilla",37.2144208,-4.777266300000001
Estación de Servicio Repsol,"Av. de Andalucía, 169, D, 29740 Torre del Mar, Málaga",36.7372871,-4.1018186000000005
Estación de Servicio Repsol,"Av. de Andalucía, S.N, D, 23680 Alcalá la Real, Jaén",37.4506807,-3.9208746
Apartamentos Maier,"Calle San Nicolás, 4, 11002 Cádiz",36.52945,-6.301842
Puerta Blanca,"Av. de Velázquez, 103, 29004 Málaga",36.6915103,-4.455984700000001
Estación de Autobuses de Jerez De La Frontera,"11401 Jerez de la Frontera, Cádiz",36.6795451,-6.126471
El Torcal,29003 Málaga,36.699737299999995,-4.4460788
