Fichero actualizado a fecha: 2020-12-20 10:29:57
"Nombre del Organismo";"Descripción";"DatosPersonales";"Dirección";"Calle";"CodigoPostal";"Localidad";"Localidad";"SoloClasificar";"Teléfono";"Telefax oficial";"Fax";"e-mail";"Páginas de internet";"Posicion";"Información adicional";Directorio Superior;Identificador Directorio Superior;Identificador;ultimaActualizacion;Enlace al contenido;
"5 Puntos de recarga de uso privado tipo Mennekes";;"AUTO SALAMANCA S.A.";;"Carretera Valladolid, 93-111";"37184";"Polígono Industrial los Villares";"1179298378820";;;;;;;"40.993718#-5.6381488#82";;;"";1284332152982;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284332152982/DirectorioPadre";
"3 Puntos de recarga de uso público 2 Schuko y 1 Mennekes";;"Hospital de Salamanca";;"Paseo de San Vicente, 58";"37007";"Salamanca";"1179298323820";;;;;;;"40.9641127#-5.6730016#82";;;"";1284332135386;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284332135386/DirectorioPadre";
"2 puntos de recarga exclusivos para clientes";;"El Corte Inglés";;"Calle Fray Luis de León, 29";"24005";"León";"1179297861059";;;;;;;"42.5893868#-5.5685765#88";;;"";1284195513722;20140521;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284195513722/DirectorioPadre";
"2 puntos de recarga públicos operativos tipo Schuko y Mennekes";;"Agencia de Innovación y Desarrollo Económico de Valladolid";;"C/Vega Sicilia, 2";"47008";"Valladolid";"1179469311668";;;;;;;"41.618941#-4.748048#88";;;"";1284187799641;20140619;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284187799641/DirectorioPadre";
"Punto de recarga público operativo tipo Schuko marca Emerix";;;;"Pza. de Pío XII";"34006";"Palencia";"1179298104011";;;;;;;"42.005771#-4.531008#94";;;"";1284204157686;20140611;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284204157686/DirectorioPadre";
"2 puntos de recarga de uso privado tipo Schuko y Mennekes";;"BODEGA MATARROMERA, S.L.";;"Carretera San Bernardo";"47359";"Valbuena de Duero";"1179469309156";;;;;;;"41.6311258#-4.2638541#94";;;"";1284335039174;20140620;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284335039174/DirectorioPadre";
"1 punto de recarga 400V/32A";;"Parador de Salamanca";;"C/ Teso de la Feria, 27";"37008";"Salamanca";"1179298323820";;;;;;;"40.952922#-5.672778#88";;;"";1284362845143;20140903;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284362845143/DirectorioPadre";
"3 puntos de recarga en el exterior. 2 Schuko 400V/16A y otro a 32A";;"Parador de León";;"Plaza de San Marcos, 1-3";"24008";"León";"1179297861059";;;;;;;"42.602451#-5.581137#88";;;"";1284362560753;20140902;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284362560753/DirectorioPadre";
"1 Punto de recarga Schuko";;"Fábrica de Cervezas La Cazurra";;"Santa Olaja de la Ribera";"24199";"León";"1179297860755";;;;;;;"42.5611754#-5.552256#88";;;"";1284324611717;20140521;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284324611717/DirectorioPadre";
"2 puntos de Red de Recarga de Vehículo de uso público";;"Eroski Zamora. Centro Comercial Valderaduey";;"Avd. Cardenal Cisneros.";"49025";"Zamora";"1179469492024";;;;;;;"41.515431#-5.747545#112";;;"";1284334253104;20140618;"https://vehiculoelectrico.jcyl.es/web/jcyl/VehiculoElectrico/es/Plantilla100Detalle/1284183822782/Directorio/1284334253104/DirectorioPadre";
